idx,date,open,high,low,close,volume,dividends,stock_splits
1,2010-08-06,11.8231411661,12.8053712859,11.814046234,12.7326135635,10678500,0.0,0.0
2,2010-08-09,12.7326135635,12.7326135635,12.4597716709,12.7326135635,1819500,0.0,0.0
3,2010-08-10,12.5234343702,12.5870971556,12.3506341422,12.3688240051,1579300,0.0,0.0
4,2010-08-11,12.0505109114,12.1687424433,11.3229327206,11.5957746506,2588200,0.0,0.0
5,2010-08-12,11.1501305429,11.3774986166,11.0046151145,11.2683620453,1780300,0.0,0.0
6,2010-08-13,11.1410338084,11.3956857669,10.7772452963,10.9136657715,957600,0.0,0.0
7,2010-08-16,10.7226779233,11.1228453366,10.6317303503,10.7135829926,551600,0.0,0.0
8,2010-08-17,10.7863417639,11.1865100838,10.6863001176,11.1137523651,1086700,0.0,0.0
9,2010-08-18,10.9864234739,11.459349407,10.9136657715,10.9136657715,1010600,0.0,0.0
10,2010-08-19,10.8681945739,11.0046159489,10.2861328162,10.5044059753,746000,0.0,0.0
11,2010-08-20,10.4134602557,10.4589340555,10.0314817252,10.1406183243,450600,0.0,0.0
12,2010-08-23,10.2588496154,10.4589338094,9.5130824388,9.9860076904,761800,0.0,0.0
13,2010-08-24,9.7859249258,10.2770400721,9.5494618527,9.7131671906,746700,0.0,0.0
14,2010-08-25,9.549460655,10.1224283984,9.303902679,9.7768287659,1112200,0.0,0.0
15,2010-08-26,9.9496302881,10.1406195769,9.8223046737,10.004199028,581400,0.0,0.0
16,2010-08-27,10.1406154589,10.4498361693,9.9951000345,10.1042366028,370900,0.0,0.0
17,2010-08-30,10.0132916148,10.2497546536,10.0132916148,10.0951442719,226900,0.0,0.0
18,2010-08-31,10.0132901513,10.2133734312,9.8859637181,10.0769529343,236000,0.0,0.0
19,2010-09-02,10.0769563967,10.8318185897,10.0769563967,10.7954397202,98500,0.0,0.0
20,2010-09-03,10.8227213079,11.2046997887,10.5316904149,10.813627243,231400,0.0,0.0
21,2010-09-07,10.9136693242,11.2410790917,10.7135851438,10.9409532547,468400,0.0,0.0
22,2010-09-08,10.4498384076,11.0773748937,10.3861756126,11.0591850281,1483700,0.0,0.0
23,2010-09-09,11.1046592925,11.486637813,10.468028714,10.822722435,235600,0.0,0.0
24,2010-09-10,10.8954792023,11.031900586,10.7408696884,10.8954792023,362900,0.0,0.0
25,2010-09-13,10.9955217256,11.131942242,10.76815362,10.8591003418,303900,0.0,0.0
26,2010-09-14,10.7772481199,11.1410367274,10.7772481199,11.1319417953,250600,0.0,0.0
27,2010-09-15,11.3865954695,11.7503841019,11.2319850839,11.3411216736,561100,0.0,0.0
