idx,date,open,high,low,close,volume,dividends,stock_splits
1,1991-10-24,0.5738259229,0.5738259229,0.5472597696,0.5525729656,43040616,0.0,0.0
2,1991-10-25,0.5525730323,0.5685127378,0.5525730323,0.5685127378,4230478,0.0,0.0
3,1991-10-28,0.5631996198,0.611017704,0.5631996198,0.611017704,5321700,0.0,0.0
4,1991-10-29,0.6057044489,0.6163309592,0.6057044489,0.611017704,5023266,0.0,0.0
5,1991-10-30,0.6110175344,0.6375836873,0.6110175344,0.6269572377,5230575,0.0,0.0
6,1991-10-31,0.6428970803,0.6428970803,0.6163309216,0.6163309216,2202947,0.0,0.0
7,1991-11-04,0.6110176609,0.6216441128,0.6003912091,0.6003912091,1218797,0.0,0.0
8,1991-11-05,0.6163306585,0.6163306585,0.6003909586,0.611017406,774563,0.0,0.0
9,1991-11-06,0.6057041534,0.611017406,0.6003909586,0.611017406,1510397,0.0,0.0
10,1991-11-07,0.611017406,0.611017406,0.6003909586,0.611017406,528525,0.0,0.0
11,1991-11-08,0.6003912091,0.6110176609,0.6003912091,0.6003912091,642431,0.0,0.0
12,1991-11-11,0.6003912886,0.6163309973,0.6003912886,0.6057044864,375891,0.0,0.0
13,1991-11-12,0.6216440586,0.6216440586,0.6057043534,0.616330862,1234744,0.0,0.0
14,1991-11-13,0.6057041534,0.6163306585,0.6057041534,0.611017406,107072,0.0,0.0
15,1991-11-14,0.6216440201,0.6216440201,0.6057043159,0.6216440201,421453,0.0,0.0
16,1991-11-15,0.6057044864,0.6269574505,0.6057044864,0.6057044864,441956,0.0,0.0
17,1991-11-18,0.6057042395,0.6110174928,0.589764595,0.589764595,683438,0.0,0.0
18,1991-11-19,0.6003912397,0.6003912397,0.4994408369,0.5260069966,1788328,0.0,0.0
19,1991-11-20,0.5260069483,0.5685127539,0.5260069483,0.5578863025,911250,0.0,0.0
20,1991-11-21,0.5738258953,0.5950778127,0.5578861925,0.5950778127,259706,0.0,0.0
21,1991-11-22,0.5950779203,0.6003911748,0.5844524503,0.5844524503,316659,0.0,0.0
22,1991-11-25,0.5844524058,0.595077875,0.5738259554,0.5738259554,562697,0.0,0.0
23,1991-11-26,0.5738259554,0.5738259554,0.5685127013,0.5738259554,116184,0.0,0.0
24,1991-11-27,0.5685127539,0.5738260084,0.5578863025,0.5578863025,380447,0.0,0.0
25,1991-11-29,0.5525730252,0.5738259848,0.5525730252,0.5525730252,29616,0.0,0.0
26,1991-12-02,0.5738257993,0.5791389942,0.5578860992,0.5791389942,487519,0.0,0.0
27,1991-12-03,0.5578861237,0.5578861237,0.5578861237,0.5578861237,4556,0.0,0.0
28,1991-12-04,0.5738260102,0.5950779319,0.5578863042,0.5950779319,642431,0.0,0.0
29,1991-12-05,0.5950779203,0.5950779203,0.5844524503,0.5844524503,50119,0.0,0.0
30,1991-12-06,0.57382599,0.5950779109,0.57382599,0.5897647142,138966,0.0,0.0
31,1991-12-09,0.5738257993,0.5950777132,0.5738257993,0.5791389942,66066,0.0,0.0
32,1991-12-10,0.5844524617,0.6110176379,0.5844524617,0.5950779319,439678,0.0,0.0
33,1991-12-11,0.589764735,0.6110176379,0.589764735,0.5950779319,576366,0.0,0.0
34,1991-12-12,0.5950779319,0.6110176379,0.5950779319,0.5950779319,305269,0.0,0.0
35,1991-12-13,0.595077916,0.6057043672,0.5897647193,0.6057043672,334884,0.0,0.0
36,1991-12-16,0.6057043833,0.6057043833,0.589764735,0.5950779319,136688,0.0,0.0
37,1991-12-17,0.5950778362,0.6110175396,0.5950778362,0.6003910899,446513,0.0,0.0
38,1991-12-18,0.6003911864,0.6057043833,0.5950779319,0.5950779319,756338,0.0,0.0
39,1991-12-19,0.5950779319,0.5950779319,0.589764735,0.5950779319,243759,0.0,0.0
40,1991-12-20,0.6110176163,0.6110176163,0.5897647142,0.5897647142,13669,0.0,0.0
41,1991-12-23,0.589764735,0.6110176379,0.589764735,0.5950779319,517134,0.0,0.0
42,1991-12-24,0.5950776945,0.6375835409,0.5950776945,0.6216438413,414619,0.0,0.0
43,1991-12-26,0.6375837326,0.6375837326,0.6269572822,0.6375837326,232369,0.0,0.0
44,1991-12-27,0.6375836591,0.6535233617,0.6322704057,0.6482101083,722166,0.0,0.0
45,1991-12-30,0.6428971004,0.6800897121,0.6322705904,0.6800897121,551306,0.0,0.0
46,1991-12-31,0.7066559575,0.722595609,0.6960294463,0.7013427019,1043381,0.0,0.0
47,1992-01-02,0.7013423198,0.7013423198,0.6747761715,0.696029067,612816,0.0,0.0
48,1992-01-03,0.685402818,0.7013425231,0.685402818,0.7013425231,34172,0.0,0.0
49,1992-01-06,0.696029067,0.7119687675,0.696029067,0.696029067,309825,0.0,0.0
50,1992-01-07,0.6960291814,0.7385350372,0.6960291814,0.7225953341,1437497,0.0,0.0
51,1992-01-08,0.7385350372,0.7385350372,0.7225953341,0.7225953341,189084,0.0,0.0
52,1992-01-09,0.7438482908,0.7438482908,0.7225953341,0.7225953341,788231,0.0,0.0
53,1992-01-10,0.7225951921,0.7279084446,0.7172819972,0.7172819972,205031,0.0,0.0
54,1992-01-13,0.7225953485,0.7332218559,0.7066557028,0.7119688988,225534,0.0,0.0
55,1992-01-14,0.6960290447,0.7172819972,0.6960290447,0.7172819972,72900,0.0,0.0
56,1992-01-15,0.6960292688,0.7013425231,0.6907160723,0.7013425231,1186903,0.0,0.0
57,1992-01-16,0.6907161185,0.70134257,0.6641499607,0.6694631577,701663,0.0,0.0
58,1992-01-17,0.6694632953,0.6694632953,0.6588368416,0.6588368416,113906,0.0,0.0
59,1992-01-20,0.6482102546,0.6694631577,0.6482102546,0.6694631577,287044,0.0,0.0
60,1992-01-21,0.6588368416,0.6694632953,0.6588368416,0.6588368416,166303,0.0,0.0
61,1992-01-22,0.6694631577,0.6694631577,0.6694631577,0.6694631577,27338,0.0,0.0
62,1992-01-23,0.6800895781,0.6907160282,0.6800895781,0.6907160282,637875,0.0,0.0
63,1992-01-24,0.6960292327,0.7225953873,0.6800895862,0.7066557407,612816,0.0,0.0
64,1992-01-27,0.7225954248,0.7225954248,0.7013425231,0.7013425231,97959,0.0,0.0
65,1992-01-28,0.6960291953,0.7119688988,0.6960291953,0.7119688988,9113,0.0,0.0
66,1992-01-29,0.696029067,0.696029067,0.696029067,0.696029067,43284,0.0,0.0
