idx,date,open,high,low,close,volume,dividends,stock_splits
1,2000-05-02,24.875,25.0625,22.375,24.0,2051300,0.0,0.0
2,2000-05-03,23.6875,23.75,21.3125,22.5,1734900,0.0,0.0
3,2000-05-04,23.5625,23.625,20.5,21.125,1235300,0.0,0.0
4,2000-05-05,20.75,22.0,20.5,20.875,1164400,0.0,0.0
5,2000-05-08,20.4375,21.0625,20.0625,20.25,750000,0.0,0.0
6,2000-05-09,20.625,21.125,19.75,20.1875,1221300,0.0,0.0
7,2000-05-10,20.375,20.4375,17.8125,19.375,1240300,0.0,0.0
8,2000-05-11,19.875,20.25,19.5,20.0,1602200,0.0,0.0
9,2000-05-12,20.625,23.0,20.125,21.375,1807800,0.0,0.0
10,2000-05-15,21.6875,22.25,20.1875,21.6875,800900,0.0,0.0
11,2000-05-16,21.8125,22.5625,21.375,22.25,646100,0.0,0.0
12,2000-05-17,21.625,22.75,21.375,21.875,861300,0.0,0.0
13,2000-05-18,21.875,24.3125,21.8125,24.0,1856900,0.0,0.0
14,2000-05-19,23.25,24.5,21.5,22.75,1248800,0.0,0.0
15,2000-05-22,23.125,23.125,19.75,20.0,1056700,0.0,0.0
16,2000-05-23,20.875,21.25,19.625,19.875,1311500,0.0,0.0
17,2000-05-24,19.9375,20.25,19.125,19.5,845700,0.0,0.0
18,2000-05-25,19.75,20.3125,18.0,18.1875,1078300,0.0,0.0
19,2000-05-26,18.1875,18.75,17.875,18.0,367000,0.0,0.0
20,2000-05-30,18.0,20.625,18.0,20.0,446000,0.0,0.0
21,2000-05-31,20.6875,20.875,19.125,19.3125,1091600,0.0,0.0
22,2000-06-02,20.6875,23.25,20.3125,23.0,1646900,0.0,0.0
23,2000-06-05,22.75,23.0,21.0625,22.875,615800,0.0,0.0
24,2000-06-06,22.75,24.625,22.125,23.125,735300,0.0,0.0
25,2000-06-07,23.1875,23.5,21.875,22.25,299900,0.0,0.0
26,2000-06-08,22.25,23.75,22.0,22.625,476800,0.0,0.0
27,2000-06-09,22.8125,23.875,22.625,23.25,428200,0.0,0.0
28,2000-06-12,23.75,24.25,23.625,24.0625,665000,0.0,0.0
29,2000-06-13,23.5625,24.0,21.875,23.4375,300500,0.0,0.0
30,2000-06-14,23.15625,23.3125,22.875,22.9375,172600,0.0,0.0
31,2000-06-15,22.625,23.25,21.75,23.0,323500,0.0,0.0
32,2000-06-16,22.96875,23.0,20.8125,21.0625,1229000,0.0,0.0
33,2000-06-19,21.5625,22.125,20.5,21.25,358700,0.0,0.0
34,2000-06-20,21.375,22.5,21.3125,21.875,714400,0.0,0.0
35,2000-06-21,21.875,23.375,21.75,22.6875,488400,0.0,0.0
36,2000-06-22,24.625,24.75,22.25,22.5,1281100,0.0,0.0
37,2000-06-23,22.8125,26.5,21.0,23.625,737900,0.0,0.0
38,2000-06-26,23.875,26.8125,23.0,23.625,473000,0.0,0.0
39,2000-06-27,23.625,23.75,22.375,22.9375,432100,0.0,0.0
40,2000-06-28,23.0,24.0,22.5,23.4375,322500,0.0,0.0
41,2000-06-29,23.125,23.9375,22.5,23.0625,308700,0.0,0.0
42,2000-06-30,22.375,24.375,21.75,21.875,851400,0.0,0.0
43,2000-07-03,22.875,23.125,22.0,22.75,156400,0.0,0.0
44,2000-07-05,22.4375,22.5,20.75,21.5625,644700,0.0,0.0
45,2000-07-06,21.5625,22.0,20.0,21.8125,382000,0.0,0.0
46,2000-07-07,21.875,22.75,21.375,21.8125,1265000,0.0,0.0
47,2000-07-10,21.75,24.6875,21.5,21.75,1233200,0.0,0.0
48,2000-07-11,21.625,23.25,21.0,22.0,1450100,0.0,0.0
49,2000-07-12,22.0625,22.0625,21.5,21.9375,217700,0.0,0.0
50,2000-07-13,21.875,22.125,19.75,20.5,649500,0.0,0.0
51,2000-07-14,22.1875,22.1875,20.25,21.5625,586000,0.0,0.0
52,2000-07-17,22.0,22.375,21.6875,22.0,787900,0.0,0.0
53,2000-07-18,22.0,22.0625,21.6875,21.9375,306900,0.0,0.0
54,2000-07-19,21.875,21.875,20.125,20.25,335500,0.0,0.0
55,2000-07-20,20.9375,21.75,20.25,21.0,196300,0.0,0.0
