idx,date,open,high,low,close,volume,dividends,stock_splits
1,1993-04-23,2.4375,2.4375,2.34375,2.40625,16484800,0.0,0.0
2,1993-04-26,2.375,2.40625,2.34375,2.34375,3334400,0.0,0.0
3,1993-04-27,2.375,2.375,2.28125,2.3125,2046400,0.0,0.0
4,1993-04-28,2.34375,2.34375,2.28125,2.28125,897600,0.0,0.0
5,1993-04-29,2.28125,2.34375,2.28125,2.3125,844800,0.0,0.0
6,1993-04-30,2.34375,2.40625,2.3125,2.34375,1180800,0.0,0.0
7,1993-05-03,2.40625,2.40625,2.3125,2.34375,623200,0.0,0.0
8,1993-05-04,2.375,2.40625,2.3125,2.375,555200,0.0,0.0
9,1993-05-05,2.375,2.4375,2.375,2.4375,900800,0.0,0.0
10,1993-05-06,2.4375,2.46875,2.375,2.453125,635200,0.0,0.0
11,1993-05-07,2.40625,2.46875,2.40625,2.40625,170400,0.0,0.0
12,1993-05-10,2.46875,2.5,2.40625,2.4375,438400,0.0,0.0
13,1993-05-11,2.4375,2.53125,2.4375,2.46875,312800,0.0,0.0
14,1993-05-12,2.5,2.53125,2.4375,2.53125,907200,0.0,0.0
15,1993-05-13,2.53125,2.59375,2.46875,2.59375,608000,0.0,0.0
16,1993-05-14,2.59375,2.78125,2.53125,2.734375,774400,0.0,0.0
17,1993-05-17,2.78125,2.78125,2.625,2.6875,349600,0.0,0.0
18,1993-05-18,2.625,2.6875,2.59375,2.65625,555200,0.0,0.0
19,1993-05-19,2.65625,2.65625,2.5625,2.609375,408800,0.0,0.0
20,1993-05-20,2.625,2.625,2.5625,2.5625,428000,0.0,0.0
21,1993-05-21,2.5625,2.625,2.5625,2.59375,144000,0.0,0.0
22,1993-05-24,2.625,2.625,2.5625,2.5625,16800,0.0,0.0
23,1993-05-25,2.5625,2.625,2.5625,2.59375,62400,0.0,0.0
24,1993-05-26,2.625,2.625,2.5625,2.5625,206400,0.0,0.0
25,1993-05-27,2.59375,2.625,2.5625,2.625,196800,0.0,0.0
26,1993-05-28,2.625,2.65625,2.5625,2.65625,175200,0.0,0.0
27,1993-06-02,2.71875,2.78125,2.65625,2.78125,302400,0.0,0.0
28,1993-06-03,2.8125,2.8125,2.75,2.8125,341600,0.0,0.0
29,1993-06-04,2.8125,2.8125,2.75,2.75,86400,0.0,0.0
30,1993-06-07,2.8125,2.8125,2.75,2.8125,288000,0.0,0.0
31,1993-06-08,2.8125,2.8125,2.75,2.8125,616800,0.0,0.0
32,1993-06-09,2.75,2.8125,2.75,2.8125,96800,0.0,0.0
33,1993-06-10,2.78125,2.90625,2.78125,2.84375,1295200,0.0,0.0
34,1993-06-11,2.875,2.90625,2.84375,2.875,213600,0.0,0.0
35,1993-06-14,2.90625,2.90625,2.84375,2.84375,80800,0.0,0.0
36,1993-06-15,2.90625,2.90625,2.75,2.8125,663200,0.0,0.0
37,1993-06-16,2.75,2.8125,2.75,2.75,353600,0.0,0.0
38,1993-06-17,2.75,2.8125,2.75,2.75,135200,0.0,0.0
39,1993-06-18,2.8125,2.90625,2.75,2.875,132800,0.0,0.0
40,1993-06-21,2.84375,2.9375,2.84375,2.890625,365600,0.0,0.0
41,1993-06-22,2.9375,2.9375,2.875,2.9375,92000,0.0,0.0
42,1993-06-23,2.9375,2.9375,2.875,2.9375,132000,0.0,0.0
43,1993-06-24,2.9375,2.9375,2.875,2.9375,39200,0.0,0.0
44,1993-06-25,2.9375,2.9375,2.84375,2.9375,167200,0.0,0.0
45,1993-06-28,2.9375,2.96875,2.84375,2.96875,244800,0.0,0.0
46,1993-06-29,2.90625,3.125,2.90625,3.03125,301600,0.0,0.0
47,1993-06-30,3.09375,3.09375,2.9375,3.0,194400,0.0,0.0
48,1993-07-02,2.90625,2.96875,2.875,2.9375,37600,0.0,0.0
49,1993-07-06,2.9375,2.9375,2.9375,2.9375,18400,0.0,0.0
50,1993-07-07,2.9375,2.9375,2.875,2.9375,44000,0.0,0.0
51,1993-07-08,2.9375,3.0,2.9375,2.9375,62400,0.0,0.0
52,1993-07-09,3.0,3.0,2.9375,3.0,6400,0.0,0.0
53,1993-07-12,3.0,3.0,2.9375,3.0,53600,0.0,0.0
54,1993-07-13,2.9375,3.0,2.9375,2.96875,44800,0.0,0.0
55,1993-07-14,3.0,3.0,3.0,3.0,4000,0.0,0.0
56,1993-07-15,3.0,3.0,2.9375,2.9375,4800,0.0,0.0
57,1993-07-16,3.0,3.0,2.9375,2.9375,30400,0.0,0.0
58,1993-07-19,2.9375,2.96875,2.90625,2.90625,161600,0.0,0.0
59,1993-07-20,2.96875,2.96875,2.90625,2.90625,148800,0.0,0.0
60,1993-07-21,2.90625,3.0,2.90625,3.0,13600,0.0,0.0
61,1993-07-22,3.0,3.0,2.90625,2.90625,78400,0.0,0.0
62,1993-07-23,2.96875,2.96875,2.90625,2.9375,100800,0.0,0.0
63,1993-07-26,2.9375,2.96875,2.9375,2.9375,34400,0.0,0.0
64,1993-07-27,2.9375,2.96875,2.9375,2.9375,33600,0.0,0.0
65,1993-07-28,3.0,3.0,2.9375,2.9375,139200,0.0,0.0
66,1993-07-29,3.0,3.0,2.9375,2.9375,11200,0.0,0.0
67,1993-07-30,2.9375,3.03125,2.9375,2.96875,220000,0.0,0.0
68,1993-08-02,2.9375,2.96875,2.90625,2.96875,129600,0.0,0.0
69,1993-08-03,2.96875,2.96875,2.90625,2.96875,192000,0.0,0.0
70,1993-08-04,2.96875,2.96875,2.90625,2.90625,71200,0.0,0.0
71,1993-08-05,2.96875,2.96875,2.90625,2.9375,160800,0.0,0.0
72,1993-08-06,2.96875,2.96875,2.90625,2.90625,338400,0.0,0.0
73,1993-08-09,2.875,2.9375,2.875,2.890625,67200,0.0,0.0
74,1993-08-10,2.875,2.921875,2.875,2.875,638400,0.0,0.0
75,1993-08-11,2.9375,2.9375,2.875,2.9375,16800,0.0,0.0
76,1993-08-12,2.875,2.96875,2.875,2.96875,301600,0.0,0.0
77,1993-08-13,2.90625,3.0,2.90625,3.0,52000,0.0,0.0
78,1993-08-16,3.0,3.0,2.90625,2.9375,320800,0.0,0.0
79,1993-08-17,3.0,3.0,2.90625,3.0,72800,0.0,0.0
80,1993-08-18,2.90625,3.0,2.90625,2.953125,40800,0.0,0.0
81,1993-08-19,2.90625,3.0,2.90625,2.90625,19200,0.0,0.0
82,1993-08-20,3.0,3.0,2.90625,2.90625,34400,0.0,0.0
83,1993-08-23,2.90625,2.921875,2.90625,2.90625,412000,0.0,0.0
84,1993-08-24,2.90625,2.96875,2.90625,2.96875,554400,0.0,0.0
85,1993-08-25,2.96875,2.96875,2.90625,2.921875,159200,0.0,0.0
86,1993-08-26,2.90625,2.96875,2.90625,2.96875,35200,0.0,0.0
87,1993-08-27,2.96875,2.96875,2.96875,2.96875,3200,0.0,0.0
88,1993-08-30,2.90625,2.96875,2.875,2.875,187200,0.0,0.0
89,1993-08-31,2.875,2.9375,2.875,2.9375,5600,0.0,0.0
90,1993-09-02,2.90625,2.90625,2.8125,2.84375,72800,0.0,0.0
91,1993-09-03,2.90625,2.90625,2.84375,2.90625,21600,0.0,0.0
92,1993-09-07,2.90625,2.90625,2.84375,2.84375,38400,0.0,0.0
93,1993-09-08,2.84375,2.875,2.796875,2.84375,150400,0.0,0.0
94,1993-09-09,2.78125,2.84375,2.78125,2.84375,176000,0.0,0.0
95,1993-09-10,2.84375,2.90625,2.8125,2.90625,145600,0.0,0.0
96,1993-09-13,2.90625,2.90625,2.84375,2.84375,10400,0.0,0.0
97,1993-09-14,2.84375,2.9375,2.84375,2.9375,108800,0.0,0.0
98,1993-09-15,2.875,2.9375,2.875,2.9375,31200,0.0,0.0
99,1993-09-16,2.9375,2.9375,2.875,2.9375,40800,0.0,0.0
100,1993-09-17,2.9375,2.9375,2.875,2.9375,24800,0.0,0.0
101,1993-09-20,2.9375,2.96875,2.875,2.96875,144800,0.0,0.0
102,1993-09-21,2.96875,3.0,2.9375,3.0,152000,0.0,0.0
103,1993-09-22,2.9375,3.0,2.9375,2.9375,208000,0.0,0.0
104,1993-09-23,3.0,3.0625,2.9375,3.03125,478400,0.0,0.0
105,1993-09-24,3.125,3.125,3.03125,3.03125,47200,0.0,0.0
106,1993-09-27,3.09375,3.09375,3.03125,3.03125,85600,0.0,0.0
107,1993-09-28,3.03125,3.09375,3.03125,3.09375,664000,0.0,0.0
108,1993-09-29,3.09375,3.09375,3.03125,3.03125,144800,0.0,0.0
109,1993-09-30,3.09375,3.09375,2.875,2.90625,970400,0.0,0.0
110,1993-10-04,2.96875,2.96875,2.953125,2.96875,26400,0.0,0.0
111,1993-10-05,2.96875,3.0,2.9375,2.96875,300000,0.0,0.0
112,1993-10-06,3.03125,3.03125,2.9375,2.96875,34400,0.0,0.0
113,1993-10-07,3.03125,3.03125,2.96875,3.03125,18400,0.0,0.0
114,1993-10-08,3.03125,3.09375,2.96875,3.09375,55200,0.0,0.0
115,1993-10-11,3.09375,3.125,3.0,3.09375,125600,0.0,0.0
116,1993-10-12,3.15625,3.34375,3.15625,3.3125,242400,0.0,0.0
117,1993-10-13,3.3125,3.3125,3.21875,3.25,109600,0.0,0.0
118,1993-10-14,3.21875,3.28125,3.21875,3.28125,42400,0.0,0.0
119,1993-10-15,3.34375,3.5625,3.28125,3.5625,210400,0.0,0.0
120,1993-10-18,3.59375,3.65625,3.5625,3.625,160000,0.0,0.0
121,1993-10-19,3.625,3.65625,3.5625,3.625,84000,0.0,0.0
122,1993-10-20,3.65625,3.6875,3.59375,3.6875,72800,0.0,0.0
123,1993-10-21,3.8125,3.9375,3.71875,3.875,226400,0.0,0.0
124,1993-10-22,3.875,4.0625,3.6875,3.6875,720800,0.0,0.0
125,1993-10-25,3.59375,3.6875,3.59375,3.625,98400,0.0,0.0
126,1993-10-26,3.6875,3.8125,3.65625,3.75,56800,0.0,0.0
127,1993-10-27,3.875,3.90625,3.84375,3.90625,104800,0.0,0.0
128,1993-10-28,3.90625,3.90625,3.84375,3.90625,52800,0.0,0.0
129,1993-10-29,3.90625,3.9375,3.84375,3.84375,329600,0.0,0.0
130,1993-11-02,3.84375,3.96875,3.84375,3.96875,87200,0.0,0.0
131,1993-11-03,3.875,3.9375,3.84375,3.84375,308000,0.0,0.0
132,1993-11-04,3.9375,3.9375,3.8125,3.875,49600,0.0,0.0
133,1993-11-05,3.78125,3.8125,3.65625,3.71875,105600,0.0,0.0
134,1993-11-08,3.71875,3.71875,3.65625,3.71875,33600,0.0,0.0
135,1993-11-09,3.75,3.78125,3.6875,3.6875,152000,0.0,0.0
136,1993-11-10,3.6875,3.78125,3.6875,3.6875,24800,0.0,0.0
137,1993-11-11,3.71875,3.8125,3.71875,3.71875,22400,0.0,0.0
138,1993-11-12,3.75,3.8125,3.65625,3.6875,166400,0.0,0.0
139,1993-11-15,3.6875,3.6875,3.59375,3.59375,18400,0.0,0.0
140,1993-11-16,3.59375,3.65625,3.59375,3.59375,9600,0.0,0.0
141,1993-11-17,3.59375,3.65625,3.59375,3.65625,39200,0.0,0.0
142,1993-11-18,3.59375,3.65625,3.59375,3.59375,66400,0.0,0.0
143,1993-11-19,3.59375,3.65625,3.546875,3.5625,98400,0.0,0.0
144,1993-11-22,3.5,3.53125,3.4375,3.53125,72800,0.0,0.0
145,1993-11-23,3.53125,3.53125,3.4375,3.53125,6400,0.0,0.0
146,1993-11-24,3.53125,3.53125,3.4375,3.5,36800,0.0,0.0
147,1993-11-26,3.53125,3.53125,3.53125,3.53125,1600,0.0,0.0
148,1993-11-29,3.53125,3.53125,3.5,3.5,48000,0.0,0.0
149,1993-11-30,3.53125,3.53125,3.4375,3.4375,333600,0.0,0.0
150,1993-12-02,3.6875,3.78125,3.625,3.78125,75200,0.0,0.0
151,1993-12-03,3.6875,3.78125,3.6875,3.71875,19200,0.0,0.0
152,1993-12-06,3.8125,3.8125,3.71875,3.8125,10400,0.0,0.0
153,1993-12-07,3.875,3.875,3.78125,3.828125,23200,0.0,0.0
154,1993-12-08,3.78125,3.875,3.6875,3.71875,104800,0.0,0.0
155,1993-12-09,3.75,3.75,3.75,3.75,1600,0.0,0.0
156,1993-12-10,3.75,3.75,3.65625,3.75,11200,0.0,0.0
157,1993-12-13,3.6875,3.75,3.6875,3.6875,6400,0.0,0.0
158,1993-12-14,3.71875,3.75,3.6875,3.6875,665600,0.0,0.0
159,1993-12-15,3.6875,3.6875,3.625,3.625,61600,0.0,0.0
160,1993-12-16,3.6875,3.6875,3.59375,3.59375,14400,0.0,0.0
161,1993-12-17,3.640625,3.6875,3.59375,3.6875,19200,0.0,0.0
162,1993-12-20,3.640625,3.6875,3.59375,3.640625,21600,0.0,0.0
163,1993-12-21,3.6875,3.6875,3.65625,3.65625,2400,0.0,0.0
164,1993-12-22,3.59375,3.65625,3.5625,3.5625,108000,0.0,0.0
165,1993-12-23,3.53125,3.625,3.53125,3.53125,26400,0.0,0.0
166,1993-12-27,3.625,3.625,3.625,3.625,3200,0.0,0.0
167,1993-12-28,3.625,3.625,3.5625,3.625,9600,0.0,0.0
168,1993-12-29,3.625,3.625,3.53125,3.53125,5600,0.0,0.0
169,1993-12-30,3.625,3.625,3.625,3.625,5600,0.0,0.0
170,1993-12-31,3.625,3.625,3.59375,3.625,24800,0.0,0.0
171,1994-01-03,3.625,3.6875,3.5625,3.65625,64000,0.0,0.0
172,1994-01-04,3.75,3.78125,3.6875,3.78125,52800,0.0,0.0
173,1994-01-05,3.8125,3.8125,3.71875,3.8125,115200,0.0,0.0
174,1994-01-06,3.8125,3.8125,3.71875,3.75,438400,0.0,0.0
175,1994-01-07,3.78125,3.8125,3.75,3.78125,72800,0.0,0.0
176,1994-01-10,3.8125,3.8125,3.78125,3.78125,38400,0.0,0.0
177,1994-01-11,3.78125,3.8125,3.75,3.8125,130400,0.0,0.0
178,1994-01-12,3.84375,3.875,3.75,3.875,1144800,0.0,0.0
179,1994-01-13,3.90625,4.03125,3.90625,4.03125,70400,0.0,0.0
180,1994-01-14,4.03125,4.1875,3.96875,4.125,110400,0.0,0.0
181,1994-01-17,4.21875,4.21875,4.125,4.125,20000,0.0,0.0
182,1994-01-18,4.21875,4.21875,3.96875,3.96875,152800,0.0,0.0
183,1994-01-19,4.03125,4.03125,3.96875,4.0,25600,0.0,0.0
184,1994-01-20,3.96875,4.03125,3.96875,4.03125,13600,0.0,0.0
185,1994-01-21,4.03125,4.03125,3.96875,4.03125,705600,0.0,0.0
186,1994-01-24,3.96875,3.96875,3.96875,3.96875,3200,0.0,0.0
187,1994-01-25,3.96875,4.03125,3.96875,4.03125,21600,0.0,0.0
188,1994-01-26,3.96875,4.03125,3.96875,4.03125,28800,0.0,0.0
189,1994-01-27,4.03125,4.03125,4.03125,4.03125,19200,0.0,0.0
