idx,date,open,high,low,close,volume,dividends,stock_splits
1,2012-07-20,9.1916666031,10.345000267,8.8500003815,8.8549995422,42096600,0.0,0.0
2,2012-07-23,8.766667366,9.0,8.516667366,8.5850000381,4730400,0.0,0.0
3,2012-07-24,8.6666669846,9.3333330154,8.5866670609,9.25,4300800,0.0,0.0
4,2012-07-25,9.4166669846,9.8333330154,9.2166671753,9.8249998093,3598200,0.0,0.0
5,2012-07-26,9.9633331299,10.3083333969,9.6800003052,9.9799995422,2566800,0.0,0.0
6,2012-07-27,10.1466665268,10.1466665268,9.5,9.5,920400,0.0,0.0
7,2012-07-30,9.4766674042,9.4766674042,8.9866666794,9.1666669846,1658400,0.0,0.0
8,2012-07-31,9.1666669846,9.5233325958,8.701666832,9.5233325958,1712400,0.0,0.0
9,2012-08-02,9.279999733,10.0,8.8783330917,9.1833333969,996000,0.0,0.0
10,2012-08-03,9.4416666031,9.483332634,9.0416669846,9.1316671371,1745400,0.0,0.0
11,2012-08-06,9.2833328247,9.3199996948,8.9466667175,9.1300001144,937800,0.0,0.0
12,2012-08-07,9.1666669846,9.5733327866,9.0866670609,9.4666671753,2194800,0.0,0.0
13,2012-08-08,9.3666667938,10.1666669846,9.3116674423,10.154999733,3023400,0.0,0.0
14,2012-08-09,10.1666669846,10.4099998474,9.9766674042,10.2216672897,1756200,0.0,0.0
15,2012-08-10,10.1666669846,10.6616668701,10.0816669464,10.220000267,1710600,0.0,0.0
16,2012-08-13,10.1833333969,10.5133333206,10.0,10.453332901,1332000,0.0,0.0
17,2012-08-14,10.6883325577,10.7266674042,9.8883333206,9.9666671753,2842200,0.0,0.0
18,2012-08-15,9.9333333969,10.483332634,9.6166667938,10.4549999237,1522800,0.0,0.0
19,2012-08-16,10.5833330154,11.1516666412,10.3116674423,11.0833330154,2230800,0.0,0.0
20,2012-08-17,11.1833333969,11.4166669846,10.8066673279,11.2150001526,2307600,0.0,0.0
21,2012-08-20,11.1300001144,11.1916666031,10.828332901,10.9116668701,1620000,0.0,0.0
22,2012-08-21,10.9133329391,11.0716667175,10.546667099,10.720000267,1485600,0.0,0.0
23,2012-08-22,10.8433332443,10.8616666794,10.5200004578,10.5416669846,747600,0.0,0.0
24,2012-08-23,10.5333328247,10.8133325577,10.4166669846,10.6899995804,1291800,0.0,0.0
25,2012-08-24,10.5749998093,10.9616670609,10.5416669846,10.7950000763,1217400,0.0,0.0
