idx,date,open,high,low,close,volume,dividends,stock_splits
1,2018-07-26,26.5,27.4500007629,25.0,26.7000007629,43213200,0.0,0.0
2,2018-07-27,27.5400009155,27.5400009155,23.2099990845,24.6000003815,19923300,0.0,0.0
3,2018-07-30,23.3099994659,23.8999996185,21.8799991608,22.5,13967700,0.0,0.0
4,2018-07-31,22.2000007629,22.7099990845,19.6200008392,22.5900001526,13709600,0.0,0.0
5,2018-08-02,19.2700004578,20.1800003052,19.0300006866,19.6599998474,9268500,0.0,0.0
6,2018-08-03,19.2700004578,20.2700004578,18.9099998474,19.0699996948,6996400,0.0,0.0
7,2018-08-06,19.2199993134,21.0900001526,18.9200000763,20.1599998474,8338600,0.0,0.0
8,2018-08-07,21.0799999237,21.8999996185,20.6700000763,20.8899993896,7573000,0.0,0.0
9,2018-08-08,21.4200000763,21.4599990845,19.8600006104,20.2700004578,3717300,0.0,0.0
10,2018-08-09,20.3899993896,20.5599994659,19.4599990845,20.0,4839400,0.0,0.0
11,2018-08-10,19.8500003815,20.0300006866,19.4899997711,19.5100002289,2570300,0.0,0.0
12,2018-08-13,19.2099990845,20.1000003815,19.2000007629,19.4400005341,2215000,0.0,0.0
13,2018-08-14,19.4599990845,19.5200004578,18.8799991608,19.0,8037800,0.0,0.0
14,2018-08-15,17.8999996185,18.5,17.5799999237,17.7000007629,11714100,0.0,0.0
15,2018-08-16,18.2700004578,19.1000003815,18.1599998474,19.0400009155,5947200,0.0,0.0
16,2018-08-17,18.6499996185,19.0300006866,18.3799991608,19.0,2720500,0.0,0.0
17,2018-08-20,18.8199996948,19.3400001526,18.7999992371,18.9500007629,3004500,0.0,0.0
18,2018-08-21,19.1399993896,19.5,18.4500007629,18.75,3252000,0.0,0.0
19,2018-08-22,18.6700000763,18.9500007629,18.0100002289,18.3999996185,4433700,0.0,0.0
20,2018-08-23,18.3799991608,18.7999992371,18.1200008392,18.3099994659,6116100,0.0,0.0
21,2018-08-24,18.25,18.5,17.2000007629,17.2199993134,7078400,0.0,0.0
22,2018-08-27,17.7000007629,19.2099990845,17.5,19.1700000763,5672500,0.0,0.0
23,2018-08-28,19.4899997711,19.9599990845,18.8199996948,19.5400009155,4853900,0.0,0.0
24,2018-08-29,19.5400009155,21.2399997711,18.9099998474,21.1499996185,5081000,0.0,0.0
25,2018-08-30,20.6800003052,20.8500003815,17.8799991608,17.9899997711,9283500,0.0,0.0
26,2018-08-31,18.8700008392,19.6700000763,17.5499992371,19.3500003815,10318400,0.0,0.0
27,2018-09-04,18.6599998474,21.1800003052,18.6000003815,20.75,10007500,0.0,0.0
28,2018-09-05,20.4400005341,20.4500007629,18.7999992371,18.7999992371,7036900,0.0,0.0
29,2018-09-06,19.2800006866,19.7800006866,18.9099998474,19.1100006104,3377700,0.0,0.0
30,2018-09-07,19.0300006866,20.25,19.0,19.5699996948,4413300,0.0,0.0
31,2018-09-10,19.6800003052,20.0499992371,19.4799995422,19.7399997711,2649300,0.0,0.0
32,2018-09-11,19.5499992371,23.7700004578,19.3099994659,23.5699996948,10743600,0.0,0.0
33,2018-09-12,22.7700004578,23.75,22.0200004578,23.0400009155,8983000,0.0,0.0
34,2018-09-13,24.5,30.4799995422,24.4200000763,29.9599990845,17080800,0.0,0.0
35,2018-09-14,28.8899993896,30.0,26.2800006866,26.3400001526,16722800,0.0,0.0
36,2018-09-17,25.9799995422,27.8799991608,24.2000007629,24.3600006104,7534400,0.0,0.0
37,2018-09-18,24.6599998474,25.6599998474,22.3099994659,22.6399993896,6798300,0.0,0.0
38,2018-09-19,23.2800006866,24.3600006104,22.4799995422,23.0,4488000,0.0,0.0
39,2018-09-20,23.3600006104,25.25,23.0599994659,24.6499996185,5147600,0.0,0.0
40,2018-09-21,25.5100002289,26.5900001526,24.4300003052,25.6000003815,6063500,0.0,0.0
41,2018-09-24,24.7600002289,27.1299991608,24.2199993134,26.4899997711,4746800,0.0,0.0
42,2018-09-25,26.1499996185,27.7999992371,26.1000003815,26.9400005341,4184600,0.0,0.0
43,2018-09-26,26.9799995422,27.1100006104,25.5,26.0599994659,4111400,0.0,0.0
44,2018-09-27,26.3600006104,26.5900001526,25.3400001526,26.3299999237,3154700,0.0,0.0
45,2018-09-28,26.0,26.2999992371,25.5200004578,26.2900009155,2564700,0.0,0.0
46,2018-10-02,27.2999992371,27.3899993896,25.4500007629,25.6599998474,3859000,0.0,0.0
