idx,date,open,high,low,close,volume,dividends,stock_splits
1,1972-06-02,0.3930230861,0.3969988253,0.3918870687,0.3918870687,140400,0.0,0.0
2,1972-06-05,0.393026337,0.3935959969,0.3799253896,0.3873303533,469800,0.00463,0.0
3,1972-06-06,0.383912921,0.383912921,0.3827738937,0.383912921,140400,0.0,0.0
4,1972-06-07,0.3839128511,0.3844825113,0.3804952125,0.3816345036,178200,0.0,0.0
5,1972-06-08,0.3816345036,0.382773824,0.3793561561,0.3816345036,432000,0.0,0.0
6,1972-06-09,0.3816343065,0.3827736263,0.3810646759,0.3822039664,199800,0.0,0.0
7,1972-06-12,0.3822038542,0.3827735139,0.3804949042,0.381064564,183600,0.0,0.0
8,1972-06-13,0.3816341925,0.3856214881,0.3816341925,0.3856214881,415800,0.0,0.0
9,1972-06-14,0.3867604677,0.3907477625,0.3867604677,0.3896084726,216000,0.0,0.0
10,1972-06-15,0.3896084831,0.3907477731,0.3878997682,0.3884694278,178200,0.0,0.0
11,1972-06-16,0.3884695653,0.3907479114,0.3861909552,0.3878999054,183600,0.0,0.0
12,1972-06-19,0.3879000621,0.3896087784,0.3839127642,0.3867607713,324000,0.0,0.0
13,1972-06-20,0.3867607713,0.3873304314,0.3850520844,0.3867607713,129600,0.0,0.0
14,1972-06-21,0.3867606933,0.3896086998,0.3856216373,0.3873303533,356400,0.0,0.0
15,1972-06-22,0.3873301274,0.3901781029,0.3861908081,0.3896084726,324000,0.0,0.0
16,1972-06-23,0.3896086665,0.3924566728,0.3896086665,0.3918872476,275400,0.0,0.0
17,1972-06-26,0.3918870631,0.3918870631,0.3884694278,0.3884694278,194400,0.0,0.0
18,1972-06-27,0.388469531,0.3896085866,0.3861909211,0.3861909211,669600,0.0,0.0
19,1972-06-28,0.3861908838,0.3867605436,0.3850518577,0.3856214881,75600,0.0,0.0
20,1972-06-29,0.3856214881,0.3878998338,0.3804949023,0.3856214881,280800,0.0,0.0
21,1972-06-30,0.3856216032,0.387330319,0.3810646759,0.3822039664,135000,0.0,0.0
22,1972-07-03,0.3822037161,0.3827733757,0.3793557117,0.3816340566,216000,0.0,0.0
23,1972-07-05,0.3816343065,0.3822039664,0.3770773791,0.3822039664,372600,0.0,0.0
24,1972-07-06,0.3822040956,0.3901784278,0.3822040956,0.3861911297,793800,0.0,0.0
25,1972-07-07,0.3856215688,0.3856215688,0.380494982,0.380494982,259200,0.0,0.0
26,1972-07-10,0.380494982,0.3839126186,0.3770773455,0.380494982,372600,0.0,0.0
27,1972-07-11,0.3804949162,0.3844822119,0.3787862302,0.3833429217,1080000,0.0,0.0
