idx,date,open,high,low,close,volume,dividends,stock_splits
1,2015-07-06,38.0,39.75,36.0,36.7099990845,5866600,0.0,0.0
2,2015-07-07,37.7200012207,37.8100013733,36.0,36.6199989319,7359000,0.0,0.0
3,2015-07-08,36.3400001526,36.3600006104,34.5299987793,34.7000007629,5387700,0.0,0.0
4,2015-07-09,35.0999984741,35.5200004578,33.9900016785,34.5,3760100,0.0,0.0
5,2015-07-10,34.6599998474,35.1899986267,33.9799995422,34.6899986267,4472800,0.0,0.0
6,2015-07-13,35.5900001526,37.5,35.5,36.7799987793,7626000,0.0,0.0
7,2015-07-14,36.9900016785,37.7400016785,36.5999984741,36.9300003052,4653300,0.0,0.0
8,2015-07-15,37.9799995422,38.2000007629,37.0299987793,37.5099983215,13072800,0.0,0.0
9,2015-07-16,38.8199996948,39.9700012207,38.0800018311,38.6300010681,21348500,0.0,0.0
10,2015-07-17,39.4199981689,40.2000007629,38.1800003052,38.3899993896,45720200,0.0,0.0
11,2015-07-20,41.4599990845,42.5499992371,39.7999992371,40.4700012207,52286500,0.0,0.0
12,2015-07-21,41.0800018311,41.1100006104,39.1199989319,39.3499984741,32954600,0.0,0.0
13,2015-07-22,39.3499984741,39.7200012207,38.0999984741,38.3899993896,25363900,0.0,0.0
14,2015-07-23,38.7400016785,38.75,36.9300003052,37.0099983215,19250200,0.0,0.0
15,2015-07-24,37.7099990845,38.0,36.9099998474,37.0,14274300,0.0,0.0
16,2015-07-27,36.7799987793,37.3800010681,36.2200012207,36.3899993896,16179900,0.0,0.0
17,2015-07-28,37.1899986267,38.0,36.8300018311,37.5999984741,18986000,0.0,0.0
18,2015-07-29,38.0299987793,38.0999984741,37.6199989319,37.9500007629,11788400,0.0,0.0
19,2015-07-30,38.0400009155,39.0099983215,37.7150001526,38.4500007629,13845100,0.0,0.0
20,2015-07-31,39.1399993896,39.2000007629,38.2200012207,38.7000007629,12480600,0.0,0.0
21,2015-08-03,39.25,39.8800010681,38.9000015259,39.3899993896,15126600,0.0,0.0
22,2015-08-04,39.9099998474,39.9099998474,38.4300003052,38.9500007629,10992200,0.0,0.0
23,2015-08-05,39.7000007629,39.8800010681,39.1699981689,39.2700004578,9463100,0.0,0.0
24,2015-08-06,39.6300010681,39.7400016785,38.5499992371,38.8499984741,7324100,0.0,0.0
25,2015-08-07,39.0400009155,39.2299995422,38.5999984741,39.1300010681,8331300,0.0,0.0
26,2015-08-10,39.4300003052,39.6899986267,38.7700004578,39.0499992371,7998900,0.0,0.0
27,2015-08-11,38.9300003052,39.2799987793,38.7200012207,38.8499984741,8184000,0.0,0.0
28,2015-08-12,38.5499992371,38.5800018311,37.0099983215,38.1899986267,21350600,0.0,0.0
