idx,date,open,high,low,close,volume,dividends,stock_splits
1,1991-04-02,21.9717660035,23.2201617991,20.7233702078,21.0978889465,2294100,0.0,0.0
2,1991-04-03,21.2227275274,21.2227275274,16.9781820219,18.2265777588,1716100,0.0,0.0
3,1991-04-04,18.2265773349,19.4749730428,17.7272190518,17.9768981934,810600,0.0,0.0
4,1991-04-05,18.4762560347,18.4762560347,17.7272186279,17.7272186279,238200,0.0,0.0
5,1991-04-08,17.976899492,17.976899492,17.4775411728,17.6023807526,200100,0.0,0.0
6,1991-04-09,17.9768986702,17.9768986702,15.9794654846,15.9794654846,319000,0.0,0.0
7,1991-04-10,15.9794652744,16.2291444193,15.4801069845,15.8546257019,582100,0.0,0.0
8,1991-04-11,15.9794652907,16.478823581,14.7310695648,14.7310695648,319400,0.0,0.0
9,1991-04-12,14.7310701224,16.4788242047,14.7310701224,16.22914505,329700,0.0,0.0
10,1991-04-15,16.4788239945,16.7285031459,15.9794656916,16.1043052673,171400,0.0,0.0
11,1991-04-16,16.3539844188,16.3539844188,15.9794656916,16.1043052673,130500,0.0,0.0
12,1991-04-17,16.3539838869,16.3539838869,15.230427742,15.230427742,187600,0.0,0.0
13,1991-04-18,15.4801068853,15.4801068853,14.4813903121,15.230427742,320300,0.0,0.0
14,1991-04-19,15.2304280706,15.2304280706,14.6062301988,14.8559093475,68900,0.0,0.0
15,1991-04-22,14.8559090353,14.8559090353,14.1068716049,14.1068716049,79000,0.0,0.0
16,1991-04-23,14.1068718141,14.7310696819,14.1068718141,14.2317113876,335000,0.0,0.0
17,1991-04-24,14.6062299922,14.7310695648,14.3565508471,14.7310695648,90500,0.0,0.0
18,1991-04-25,14.3565513759,14.7310701074,14.3565513759,14.4813909531,115400,0.0,0.0
19,1991-04-26,14.4813907457,14.4813907457,13.9820324442,14.3565511703,122600,0.0,0.0
20,1991-04-29,14.3565508842,14.3565508842,12.3591177177,12.4839572906,183700,0.0,0.0
21,1991-04-30,12.9833157983,12.9833157983,11.9845991984,12.6087970734,330000,0.0,0.0
22,1991-05-02,13.9820319282,14.106871499,13.2329945034,13.482673645,153900,0.0,0.0
23,1991-05-03,13.2329952383,13.6075139714,12.9833160828,13.357834816,65300,0.0,0.0
24,1991-05-06,13.3578342823,13.6075134277,12.7336364186,13.6075134277,163700,0.0,0.0
25,1991-05-07,13.8571931269,14.1068722823,13.357834816,13.357834816,146100,0.0,0.0
26,1991-05-08,13.982032488,14.1068720638,13.2329950333,13.2329950333,162600,0.0,0.0
27,1991-05-09,13.6075134277,13.6075134277,13.2329947095,13.6075134277,25700,0.0,0.0
28,1991-05-10,13.2329951642,13.6075138952,12.7336368561,12.7336368561,125200,0.0,0.0
29,1991-05-13,12.983315841,12.983315841,11.3604013609,11.4852409363,137900,0.0,0.0
30,1991-05-14,11.7349197588,12.1094384746,11.485240615,11.8597593307,173200,0.0,0.0
31,1991-05-15,12.1094384859,12.1094384859,10.2368449056,10.7362031937,186200,0.0,0.0
32,1991-05-16,10.7362030877,11.4852405124,10.3616843753,11.2355613708,230000,0.0,0.0
33,1991-05-17,11.6100799784,12.109438257,11.1107216997,11.734919548,75000,0.0,0.0
34,1991-05-20,11.7349198729,11.859759446,10.9858824342,11.3604011536,83000,0.0,0.0
35,1991-05-21,11.3604016304,12.2342786789,11.235562052,12.2342786789,139700,0.0,0.0
36,1991-05-22,11.8597597437,12.3591180487,11.6100805912,12.1094388962,184200,0.0,0.0
37,1991-05-23,12.4839571903,12.7336363341,11.8597593307,11.8597593307,135900,0.0,0.0
38,1991-05-24,11.8597599438,12.2342786789,11.8597599438,12.2342786789,14600,0.0,0.0
39,1991-05-28,12.2342782617,12.2342782617,11.8597595394,11.9845991135,16900,0.0,0.0
40,1991-05-29,11.9845991984,12.7336366483,11.9845991984,12.6087970734,245700,0.0,0.0
41,1991-05-30,12.8584765707,13.2329953057,12.1094391005,12.2342786789,253200,0.0,0.0
42,1991-05-31,12.4839578356,12.4839578356,12.1094391005,12.2342786789,85200,0.0,0.0
43,1991-06-03,12.483956966,12.483956966,11.4852404087,11.734919548,102400,0.0,0.0
44,1991-06-04,11.9845993199,12.1094388962,11.6100805912,12.1094388962,59800,0.0,0.0
45,1991-06-05,12.1094384746,12.1094384746,11.8597593307,11.8597593307,48900,0.0,0.0
46,1991-06-06,11.8597593307,12.1094384746,11.8597593307,11.8597593307,13200,0.0,0.0
47,1991-06-07,12.1094390295,12.1094390295,11.4852411414,11.610080719,32500,0.0,0.0
48,1991-06-10,11.4852411414,11.8597598742,11.1107224085,11.610080719,69400,0.0,0.0
49,1991-06-11,11.610080719,11.610080719,11.1107224085,11.610080719,26800,0.0,0.0
50,1991-06-12,11.4852410663,11.4852410663,10.7362036055,10.9858827591,113400,0.0,0.0
51,1991-06-13,10.9858826787,10.9858826787,10.2368452233,10.3616847992,59600,0.0,0.0
52,1991-06-14,10.7362036055,10.9858827591,10.3616848751,10.9858827591,152800,0.0,0.0
53,1991-06-17,10.8610429764,11.2355616997,10.8610429764,10.8610429764,20400,0.0,0.0
54,1991-06-18,10.8610426585,11.4852405124,10.8610426585,11.2355613708,130100,0.0,0.0
55,1991-06-19,11.4852409363,11.4852409363,11.2355617855,11.4852409363,27700,0.0,0.0
56,1991-06-20,11.4852408171,11.9845991135,10.9858825207,11.9845991135,58900,0.0,0.0
57,1991-06-21,11.9845991135,12.2342782617,11.7349199653,11.9845991135,48200,0.0,0.0
58,1991-06-24,11.7349200871,11.9845992379,10.9858826347,11.4852409363,78300,0.0,0.0
59,1991-06-25,10.9858829627,11.4852412792,10.9858829627,11.1107225418,48000,0.0,0.0
60,1991-06-26,10.9858827591,11.2355619127,10.9858827591,10.9858827591,91800,0.0,0.0
61,1991-06-27,11.2355613708,11.2355613708,10.9858822293,11.2355613708,16200,0.0,0.0
62,1991-06-28,10.9858829627,11.2355621209,10.7362038044,11.1107225418,59700,0.0,0.0
63,1991-07-02,11.1107216891,11.1107216891,10.3616842719,10.6113634109,43900,0.0,0.0
64,1991-07-03,10.7362037386,10.7362037386,10.3616850036,10.4865245819,38200,0.0,0.0
65,1991-07-05,10.3616845899,10.73620331,10.2368450165,10.2368450165,43900,0.0,0.0
66,1991-07-08,9.9871658697,10.4865241632,9.8623262964,10.2368450165,44400,0.0,0.0
67,1991-07-09,9.9871657615,10.8610427657,9.9871657615,10.7362031937,45100,0.0,0.0
68,1991-07-10,10.4865245819,10.9858828953,10.4865245819,10.4865245819,11500,0.0,0.0
69,1991-07-11,10.4865242531,10.9858825508,10.4865242531,10.8610429764,15400,0.0,0.0
70,1991-07-12,10.861043317,10.861043317,10.4865245819,10.4865245819,40600,0.0,0.0
71,1991-07-15,10.4865239461,11.2355613708,10.4865239461,11.2355613708,36800,0.0,0.0
72,1991-07-16,11.4852406258,11.4852406258,10.4865240496,10.7362031937,39000,0.0,0.0
73,1991-07-17,10.4865240496,10.8610427657,10.4865240496,10.7362031937,47500,0.0,0.0
74,1991-07-18,10.7362036055,10.9858827591,10.6113640287,10.9858827591,38400,0.0,0.0
75,1991-07-19,10.6113640287,10.9858827591,10.6113640287,10.9858827591,14300,0.0,0.0
76,1991-07-22,10.9858828953,10.9858828953,10.4865245819,10.4865245819,68700,0.0,0.0
77,1991-07-23,10.4865245819,10.861043317,10.2368454252,10.4865245819,9700,0.0,0.0
78,1991-07-24,10.73620331,10.73620331,10.2368450165,10.2368450165,14400,0.0,0.0
79,1991-07-25,10.2368453545,10.7362036645,9.7374870445,9.862326622,50400,0.0,0.0
80,1991-07-26,10.1120054431,10.2368450165,9.737486723,10.2368450165,16200,0.0,0.0
81,1991-07-29,10.2368450165,10.2368450165,9.8623262964,10.2368450165,4400,0.0,0.0
82,1991-07-30,10.2368447023,10.6113634109,9.9871655632,10.6113634109,108100,0.0,0.0
83,1991-07-31,10.8610430593,11.9845992379,10.7362034839,11.4852409363,83200,0.0,0.0
84,1991-08-02,11.4852405124,11.4852405124,11.2355613708,11.2355613708,17600,0.0,0.0
85,1991-08-05,11.3604013609,11.4852409363,11.2355617855,11.4852409363,3700,0.0,0.0
86,1991-08-06,11.2355614817,11.4852406258,10.4865240496,10.7362031937,91300,0.0,0.0
87,1991-08-07,10.6113638275,10.8610429764,10.6113638275,10.8610429764,10400,0.0,0.0
88,1991-08-08,10.8610427657,11.2355614817,10.6113636216,10.7362031937,25800,0.0,0.0
89,1991-08-09,10.86104255,10.86104255,10.1120051328,10.6113634109,34300,0.0,0.0
