idx,date,open,high,low,close,volume,dividends,stock_splits
1,1992-02-13,1.6081038613,1.6834837298,1.6081038613,1.6457937956,18506400,0.0,0.0
2,1992-02-14,1.65835765,1.8342440675,1.65835765,1.8091174364,3128000,0.0,0.0
3,1992-02-18,1.7839919275,1.8342452212,1.6583586931,1.6583586931,2584800,0.0,0.0
4,1992-02-19,1.6834847875,1.7337380648,1.6332315103,1.7337380648,2454400,0.0,0.0
5,1992-02-20,1.7086108503,1.8342440011,1.7086108503,1.7839907408,1304000,0.0,0.0
6,1992-02-21,1.7839902884,1.834243536,1.7839902884,1.834243536,616800,0.0,0.0
7,1992-02-24,1.7839910436,1.8593709469,1.7839910436,1.8593709469,772800,0.0,0.0
8,1992-02-25,1.8216802241,1.8593701598,1.8091169122,1.834243536,517600,0.0,0.0
9,1992-02-26,1.8593705368,1.8844971657,1.8091172791,1.8844971657,851200,0.0,0.0
10,1992-02-27,1.8342443736,1.9598775498,1.8342443736,1.9347509146,555200,0.0,0.0
11,1992-02-28,1.9598772084,2.0855103628,1.9096239467,2.0352571011,1108800,0.0,0.0
12,1992-03-02,2.0855099457,2.0980732586,1.9850034423,2.0603833199,873600,0.0,0.0
13,1992-03-03,2.0478199139,2.0603832263,1.9598767275,1.9850033522,512000,0.0,0.0
14,1992-03-04,1.9850034011,2.0352566517,1.9598767757,1.9598767757,163200,0.0,0.0
15,1992-03-05,2.0352561665,2.0352561665,1.8844964504,1.8844964504,707200,0.0,0.0
16,1992-03-06,1.9221863794,1.9598763084,1.8844964504,1.8844964504,765600,0.0,0.0
17,1992-03-09,1.8844977313,1.9598776406,1.8844977313,1.922187686,766400,0.0,0.0
18,1992-03-10,1.8844968998,1.9598767757,1.8844968998,1.9598767757,93600,0.0,0.0
19,1992-03-11,2.0101316416,2.0352582871,1.9598783505,1.9724416733,222400,0.0,0.0
20,1992-03-12,1.9598767757,2.0352566517,1.9598767757,1.9598767757,89600,0.0,0.0
21,1992-03-13,1.9598765197,2.0603830079,1.9598765197,2.0352563858,211200,0.0,0.0
22,1992-03-16,2.0101300682,2.0603833199,2.0101300682,2.0603833199,94400,0.0,0.0
23,1992-03-17,1.9850033522,2.0603832263,1.9850033522,1.9850033522,150400,0.0,0.0
24,1992-03-18,1.9850033522,1.9850033522,1.9850033522,1.9850033522,52000,0.0,0.0
25,1992-03-19,2.0603832771,2.0603832771,1.9598767757,1.9598767757,68800,0.0,0.0
26,1992-03-20,1.9598765197,2.0352563858,1.9598765197,2.0352563858,124800,0.0,0.0
27,1992-03-23,1.9598768792,2.0226934458,1.9598768792,1.9975668192,314400,0.0,0.0
28,1992-03-24,1.9850034011,2.0226933391,1.9598767757,1.9598767757,437600,0.0,0.0
29,1992-03-25,2.0352566016,2.0352566016,1.9598767275,1.9850033522,79200,0.0,0.0
30,1992-03-26,1.9347505569,1.9473138723,1.9347505569,1.9347505569,47200,0.0,0.0
31,1992-03-27,2.0101311207,2.0101311207,1.9598778427,2.0101311207,79200,0.0,0.0
32,1992-03-30,1.9598767275,2.0101299769,1.9598767275,1.9850033522,46400,0.0,0.0
33,1992-03-31,1.9598778427,2.0101311207,1.9598778427,2.0101311207,107200,0.0,0.0
34,1992-04-02,2.0101296147,2.0101296147,1.9598763744,1.9850029945,51200,0.0,0.0
35,1992-04-03,1.9598763744,2.0101296147,1.9598763744,1.9850029945,116800,0.0,0.0
36,1992-04-06,1.959876895,2.0101301487,1.959876895,1.959876895,71200,0.0,0.0
37,1992-04-07,1.9598762155,2.060382688,1.9598762155,2.0101294518,116000,0.0,0.0
38,1992-04-08,1.9598762155,2.0101294518,1.9598762155,2.0101294518,247200,0.0,0.0
39,1992-04-09,1.9598763744,2.0352562349,1.9598763744,1.9850029945,36000,0.0,0.0
40,1992-04-10,1.9850029945,2.0352562349,1.9850029945,1.9850029945,87200,0.0,0.0
41,1992-04-13,1.9850029945,2.0352562349,1.9850029945,1.9850029945,16000,0.0,0.0
42,1992-04-14,2.0352562349,2.0352562349,1.9850029945,1.9850029945,25600,0.0,0.0
43,1992-04-15,1.9850035218,2.0101301487,1.959876895,1.959876895,84800,0.0,0.0
44,1992-04-16,1.9850035218,2.0101301487,1.959876895,1.959876895,62400,0.0,0.0
45,1992-04-20,1.9387269804,1.9387269804,1.913548708,1.913548708,59200,0.005,0.0
46,1992-04-21,1.913548708,1.913548708,1.913548708,1.913548708,7200,0.0,0.0
47,1992-04-22,1.9135483669,1.9890831709,1.9135483669,1.9890831709,7200,0.0,0.0
48,1992-04-23,1.913548708,1.9513161167,1.913548708,1.913548708,179200,0.0,0.0
49,1992-04-24,1.9135488659,1.963905415,1.8883705913,1.9387271404,252800,0.0,0.0
50,1992-04-27,1.8883715868,1.9639064503,1.8883715868,1.8883715868,62400,0.0,0.0
51,1992-04-28,1.8631929755,1.888371259,1.8128364086,1.8128364086,99200,0.0,0.0
52,1992-04-29,1.8883709222,1.8883709222,1.8128360853,1.8380143642,552000,0.0,0.0
53,1992-04-30,1.888371259,1.888371259,1.8128364086,1.8128364086,128000,0.0,0.0
54,1992-05-04,1.8128360027,1.8631925583,1.8128360027,1.8631925583,38400,0.0,0.0
55,1992-05-05,1.8128361702,1.8128361702,1.77506875,1.8128361702,55200,0.0,0.0
56,1992-05-06,1.7624797821,1.8128363473,1.7624797821,1.7624797821,461600,0.0,0.0
57,1992-05-07,1.7624798417,1.7624798417,1.7121232748,1.7121232748,28800,0.0,0.0
58,1992-05-08,1.7121230692,1.8128361909,1.7121230692,1.7373013496,551200,0.0,0.0
59,1992-05-11,1.7373013298,1.8128361702,1.7373013298,1.8128361702,135200,0.0,0.0
60,1992-05-12,1.7373006025,1.8883702201,1.7373006025,1.7876571417,291200,0.0,0.0
61,1992-05-13,1.8631924049,1.8631924049,1.8002467155,1.8002467155,52800,0.0,0.0
62,1992-05-14,1.7876571417,1.8002462765,1.7876571417,1.7876571417,326400,0.0,0.0
63,1992-05-15,1.7876571417,1.7876571417,1.7876571417,1.7876571417,800,0.0,0.0
64,1992-05-18,1.7876571417,1.7876571417,1.7876571417,1.7876571417,2400,0.0,0.0
65,1992-05-19,1.7876571417,1.7876571417,1.7876571417,1.7876571417,27200,0.0,0.0
66,1992-05-20,1.7624796301,1.8128361909,1.7373013496,1.7373013496,62400,0.0,0.0
67,1992-05-21,1.7373015276,1.7373015276,1.6365883955,1.6869449615,151200,0.0,0.0
68,1992-05-22,1.6869440837,1.6869440837,1.6365875439,1.6617658138,77600,0.0,0.0
69,1992-05-26,1.5610539196,1.5610539196,1.4099841854,1.5484647751,1848800,0.0,0.0
70,1992-05-27,1.5106975465,1.6114107162,1.5106975465,1.5862324238,980000,0.0,0.0
71,1992-05-28,1.5484648716,1.6114105981,1.4855191451,1.523286581,801600,0.0,0.0
72,1992-05-29,1.535874927,1.535874927,1.4981075108,1.5106966496,256000,0.0,0.0
73,1992-06-02,1.5358749698,1.5358749698,1.4603401352,1.4981075525,235200,0.0,0.0
74,1992-06-03,1.5358747264,1.5358747264,1.4603399038,1.4603399038,50400,0.0,0.0
75,1992-06-04,1.4603396336,1.5106961727,1.4603396336,1.5106961727,874400,0.0,0.0
76,1992-06-05,1.5106961727,1.5106961727,1.5106961727,1.5106961727,4000,0.0,0.0
77,1992-06-08,1.535875082,1.535875082,1.535875082,1.535875082,1600,0.0,0.0
78,1992-06-09,1.4603411642,1.5106977561,1.4603411642,1.4729303122,1157600,0.0,0.0
79,1992-06-10,1.5106964522,1.5106964522,1.4603399038,1.4603399038,16800,0.0,0.0
80,1992-06-11,1.4855179032,1.5106961727,1.4603396336,1.5106961727,36000,0.0,0.0
81,1992-06-12,1.5106964522,1.5106964522,1.4603399038,1.4603399038,104000,0.0,0.0
82,1992-06-15,1.4603400699,1.4603400699,1.3848052387,1.4099835157,316800,0.0,0.0
