idx,date,open,high,low,close,volume,dividends,stock_splits
1,1987-09-10,167.4400024414,168.9799957275,167.4400024414,168.9700012207,179800000,0.0,0.0
2,1987-09-11,168.9700012207,170.5399932861,168.75,170.5399932861,178000000,0.0,0.0
3,1987-09-14,170.5299987793,170.9499969482,170.1499938965,170.4299926758,154400000,0.0,0.0
4,1987-09-15,170.4199981689,170.4400024414,169.1300048828,169.1999969482,136200000,0.0,0.0
5,1987-09-16,169.3099975586,170.0299987793,168.8200073242,168.9199981689,195700000,0.0,0.0
6,1987-09-17,168.9199981689,169.25,168.5399932861,168.8200073242,150700000,0.0,0.0
7,1987-09-18,168.8200073242,169.0399932861,168.75,168.75,188100000,0.0,0.0
8,1987-09-21,168.75,169.1300048828,167.3600006104,167.3999938965,170100000,0.0,0.0
9,1987-09-22,167.3999938965,167.5599975586,166.6900024414,167.5599975586,209500000,0.0,0.0
10,1987-09-23,167.5599975586,168.6499938965,167.5500030518,168.6499938965,220300000,0.0,0.0
11,1987-09-24,168.6499938965,169.0599975586,168.5200042725,168.7200012207,162200000,0.0,0.0
12,1987-09-25,168.7200012207,168.8500061035,168.4299926758,168.8500061035,138000000,0.0,0.0
13,1987-09-28,168.8399963379,169.8000030518,168.8399963379,169.5200042725,188100000,0.0,0.0
14,1987-09-29,169.5200042725,169.6900024414,168.8899993896,169.0599975586,173500000,0.0,0.0
15,1987-09-30,169.0500030518,170.8099975586,168.6799926758,170.8099975586,183100000,0.0,0.0
16,1987-10-02,171.3999938965,172.0899963379,171.3999938965,172.0800018311,189100000,0.0,0.0
17,1987-10-05,172.0899963379,172.5500030518,172.0899963379,172.5399932861,159700000,0.0,0.0
18,1987-10-06,172.5500030518,172.6199951172,170.1300048828,170.2100067139,175600000,0.0,0.0
19,1987-10-07,170.2100067139,170.2100067139,168.4799957275,168.8699951172,186300000,0.0,0.0
20,1987-10-08,168.8699951172,168.9799957275,166.7799987793,167.0599975586,198700000,0.0,0.0
21,1987-10-09,167.0599975586,167.1100006104,166.0099945068,166.1199951172,158300000,0.0,0.0
22,1987-10-12,166.1100006104,166.1100006104,163.3899993896,163.8600006104,141900000,0.0,0.0
23,1987-10-13,163.8600006104,164.4199981689,163.6300048828,164.1399993896,172900000,0.0,0.0
24,1987-10-14,164.1499938965,164.1600036621,161.5899963379,161.7899932861,207400000,0.0,0.0
25,1987-10-15,161.8000030518,161.8000030518,159.6000061035,159.6600036621,263200000,0.0,0.0
26,1987-10-16,159.6600036621,159.6600036621,152.6100006104,152.7400054932,338500000,0.0,0.0
27,1987-10-19,152.7400054932,152.7400054932,133.6000061035,133.6000061035,604300000,0.0,0.0
28,1987-10-20,133.6000061035,133.6000061035,120.2099990845,121.3899993896,608100000,0.0,0.0
29,1987-10-21,121.3899993896,130.7700042725,121.3899993896,130.6499938965,449600000,0.0,0.0
30,1987-10-22,130.6499938965,130.6499938965,124.4700012207,124.5699996948,392200000,0.0,0.0
31,1987-10-23,124.5800018311,124.5800018311,121.3600006104,121.5899963379,245600000,0.0,0.0
32,1987-10-26,121.5800018311,121.5800018311,110.3199996948,110.3300018311,308800000,0.0,0.0
33,1987-10-27,110.3199996948,113.1200027466,108.3700027466,108.5100021362,260200000,0.0,0.0
34,1987-10-28,105.4599990845,108.5,105.4599990845,106.0800018311,279400000,0.0,0.0
35,1987-10-29,106.0699996948,110.8000030518,106.0599975586,110.8000030518,258100000,0.0,0.0
36,1987-10-30,110.7900009155,118.2600021362,107.9000015259,118.2600021362,303400000,0.0,0.0
37,1987-11-02,118.2699966431,120.2200012207,118.2699966431,120.2099990845,176000000,0.0,0.0
38,1987-11-03,120.1999969482,122.0500030518,116.9199981689,117.7200012207,227800000,0.0,0.0
39,1987-11-04,117.7300033569,117.75,116.3899993896,117.1999969482,202500000,0.0,0.0
40,1987-11-05,117.1900024414,118.9400024414,117.1800003052,118.9400024414,226000000,0.0,0.0
41,1987-11-06,118.9400024414,120.0899963379,118.9400024414,119.3300018311,228290000,0.0,0.0
42,1987-11-09,119.3199996948,119.3199996948,117.2600021362,117.6200027466,160690000,0.0,0.0
43,1987-11-10,117.6200027466,117.6200027466,115.25,115.5599975586,184310000,0.0,0.0
44,1987-11-11,115.5699996948,116.6800003052,115.5,116.2600021362,147850000,0.0,0.0
45,1987-11-12,116.2600021362,118.6699981689,116.2099990845,118.3499984741,206280000,0.0,0.0
46,1987-11-13,118.3499984741,118.6399993896,118.0999984741,118.3099975586,174920000,0.0,0.0
47,1987-11-16,118.3199996948,119.0199966431,118.0100021362,118.2699966431,164340000,0.0,0.0
48,1987-11-17,118.2600021362,118.2699966431,116.0400009155,116.3000030518,148240000,0.0,0.0
49,1987-11-18,116.3000030518,116.6900024414,115.7600021362,116.6900024414,158260000,0.0,0.0
50,1987-11-19,116.6900024414,116.6900024414,115.0400009155,115.1100006104,157140000,0.0,0.0
51,1987-11-20,115.1100006104,115.1500015259,113.8399963379,114.4499969482,189170000,0.0,0.0
52,1987-11-23,114.4499969482,114.5,114.0899963379,114.4700012207,143160000,0.0,0.0
53,1987-11-24,114.4700012207,115.8799972534,114.2900009155,115.5800018311,199520000,0.0,0.0
54,1987-11-25,115.5800018311,115.9700012207,115.3899993896,115.9700012207,139780000,0.0,0.0
55,1987-11-27,115.9599990845,115.9599990845,115.5299987793,115.6100006104,86360000,0.0,0.0
56,1987-11-30,115.5999984741,115.6299972534,110.5599975586,111.6999969482,268910000,0.0,0.0
57,1987-12-02,111.2699966431,111.3000030518,110.8300018311,111.1100006104,148890000,0.0,0.0
58,1987-12-03,111.1100006104,111.1500015259,108.8600006104,108.9400024414,204160000,0.0,0.0
59,1987-12-04,108.9400024414,108.9400024414,106.1900024414,106.5,184800000,0.0,0.0
60,1987-12-07,106.4899978638,106.5199966431,106.1600036621,106.4300003052,146660000,0.0,0.0
61,1987-12-08,106.4400024414,107.2399978638,106.3799972534,107.2399978638,227310000,0.0,0.0
62,1987-12-09,107.2399978638,108.8899993896,107.2399978638,108.8899993896,231430000,0.0,0.0
63,1987-12-10,108.8899993896,109.0599975586,107.1999969482,108.6200027466,188960000,0.0,0.0
64,1987-12-11,108.6299972534,109.3199996948,108.5400009155,109.3199996948,151680000,0.0,0.0
65,1987-12-14,109.3099975586,112.0699996948,109.0999984741,112.0699996948,187680000,0.0,0.0
66,1987-12-15,112.0699996948,114.3600006104,112.0699996948,114.3600006104,214970000,0.0,0.0
67,1987-12-16,114.3600006104,116.8399963379,113.8700027466,116.8199996948,193820000,0.0,0.0
68,1987-12-17,116.8199996948,117.3099975586,116.25,116.9400024414,191780000,0.0,0.0
69,1987-12-18,116.9400024414,119.4599990845,116.4499969482,119.4599990845,276220000,0.0,0.0
70,1987-12-21,119.4499969482,119.9199981689,119.25,119.9199981689,161790000,0.0,0.0
71,1987-12-22,119.9199981689,119.9300003052,118.75,119.3099975586,192650000,0.0,0.0
72,1987-12-23,119.3099975586,120.8199996948,119.3099975586,120.8000030518,203110000,0.0,0.0
73,1987-12-24,120.7900009155,121.5899963379,120.7900009155,121.5899963379,108800000,0.0,0.0
74,1987-12-28,121.5899963379,121.5899963379,118.6800003052,119.0,131220000,0.0,0.0
75,1987-12-29,118.9899978638,118.9899978638,118.0199966431,118.3000030518,111580000,0.0,0.0
76,1987-12-30,118.3099975586,119.5,118.3000030518,119.5,149230000,0.0,0.0
77,1987-12-31,119.5,120.4199981689,118.6100006104,120.4199981689,170140000,0.0,0.0
78,1988-01-04,120.4300003052,123.5100021362,120.4300003052,123.5,181810000,0.0,0.0
79,1988-01-05,123.5,126.5500030518,123.5,126.1299972534,209520000,0.0,0.0
