idx,date,open,high,low,close,volume,dividends,stock_splits
1,1992-06-26,0.2501962917,0.2650887463,0.2442396234,0.2561537325,224358400,0.0,0.0
2,1992-06-29,0.2591321177,0.2799820183,0.2531746982,0.2740245759,58732800,0.0,0.0
3,1992-06-30,0.2799820669,0.2829603909,0.2621105095,0.2650888562,34777600,0.0,0.0
4,1992-07-02,0.2740246578,0.2740246578,0.2650888893,0.2710463107,13996800,0.0,0.0
5,1992-07-06,0.2680679863,0.2710463107,0.2650888893,0.2710463107,5753600,0.0,0.0
6,1992-07-07,0.2710463107,0.2710463107,0.2650888893,0.2710463107,10662400,0.0,0.0
7,1992-07-08,0.2710462768,0.2710462768,0.2621105095,0.2650888562,15500800,0.0,0.0
8,1992-07-09,0.2680679646,0.2740246356,0.2650888678,0.2740246356,3923200,0.0,0.0
9,1992-07-10,0.2740246728,0.2799821172,0.268068001,0.27700302,11040000,0.0,0.0
10,1992-07-13,0.2770030229,0.2829604447,0.2740246756,0.2829604447,5996800,0.0,0.0
11,1992-07-14,0.2829604447,0.2918962365,0.2799821201,0.2829604447,17062400,0.0,0.0
12,1992-07-15,0.2859387214,0.2918961644,0.2829603749,0.2918961644,4992000,0.0,0.0
13,1992-07-16,0.2918962102,0.3157244407,0.2889171133,0.3112561703,17062400,0.0,0.0
14,1992-07-17,0.3127452685,0.333595147,0.3038102523,0.3276384771,15667200,0.0,0.0
15,1992-07-20,0.3261485032,0.3335951182,0.3187026608,0.3306167722,19744000,0.0,0.0
16,1992-07-21,0.3335950971,0.3395525387,0.3276384281,0.3335950971,7782400,0.0,0.0
17,1992-07-22,0.3306167722,0.3335951182,0.3216810069,0.3306167722,10892800,0.0,0.0
18,1992-07-23,0.3306168477,0.3365735412,0.3246594271,0.3365735412,10387200,0.0,0.0
19,1992-07-24,0.3306168217,0.3425309349,0.327638498,0.3395526111,7052800,0.0,0.0
20,1992-07-27,0.342530904,0.3544450161,0.3395525805,0.3469984233,11430400,0.0,0.0
21,1992-07-28,0.3514666493,0.3544449724,0.3276384281,0.3335950971,18009600,0.0,0.0
22,1992-07-29,0.333595113,0.333595113,0.3097668906,0.3172135055,30848000,0.0,0.0
23,1992-07-30,0.3127452471,0.3187026664,0.3067885549,0.3157243431,11737600,0.0,0.0
24,1992-07-31,0.3157243325,0.3187026558,0.3097668906,0.3172135055,6886400,0.0,0.0
25,1992-08-03,0.3127452673,0.3246593796,0.3127452673,0.3201918602,4832000,0.0,0.0
26,1992-08-04,0.3216810723,0.3276385155,0.3142344558,0.3261485696,6822400,0.0,0.0
27,1992-08-05,0.3246593857,0.3246593857,0.3067885804,0.3127452731,9516800,0.0,0.0
28,1992-08-06,0.3097669268,0.3127452731,0.3038102568,0.3127452731,3673600,0.0,0.0
29,1992-08-07,0.3127451502,0.3246592581,0.3038101374,0.3246592581,8825600,0.0,0.0
30,1992-08-10,0.3187025678,0.3306166757,0.3157242453,0.3246592581,5888000,0.0,0.0
31,1992-08-11,0.3306168307,0.3306168307,0.3216810638,0.3276385069,4147200,0.0,0.0
32,1992-08-12,0.3216810393,0.3246593857,0.3067885804,0.3127452731,12736000,0.0,0.0
33,1992-08-13,0.3127452731,0.3172135425,0.3067885804,0.3127452731,48320000,0.0,0.0
34,1992-08-14,0.3097668241,0.3157242647,0.2918960475,0.2948743701,17849600,0.0,0.0
35,1992-08-17,0.2978527339,0.3008310795,0.2918960656,0.3008310795,2681600,0.0,0.0
36,1992-08-18,0.2918962026,0.2978528738,0.2918962026,0.2978528738,2860800,0.0,0.0
37,1992-08-19,0.2918962026,0.2978528738,0.2918962026,0.2978528738,2380800,0.0,0.0
38,1992-08-20,0.2978527155,0.3052993288,0.2889169522,0.2948743701,2489600,0.0,0.0
