idx,date,open,high,low,close,volume,dividends,stock_splits
1,2007-03-29,0.8849999905,0.9309999943,0.8659999967,0.8759999871,60798000,0.0,0.0
2,2007-03-30,0.8830000162,0.8999999762,0.8550000191,0.898999989,4195000,0.0,0.0
3,2007-04-02,0.8999999762,1.0590000153,0.898999989,1.0379999876,7491000,0.0,0.0
4,2007-04-03,1.0700000525,1.1660000086,1.0399999619,1.0579999685,8357000,0.0,0.0
5,2007-04-04,1.0399999619,1.0989999771,1.003000021,1.0160000324,3095000,0.0,0.0
6,2007-04-05,1.0019999743,1.0249999762,0.9520000219,0.9800000191,4249000,0.0,0.0
7,2007-04-09,0.9950000048,1.0360000134,0.9879999757,1.0,1743000,0.0,0.0
8,2007-04-10,0.9959999919,1.0119999647,0.9660000205,0.9800000191,1068000,0.0,0.0
9,2007-04-11,0.9710000157,0.9860000014,0.9499999881,0.9539999962,1070000,0.0,0.0
10,2007-04-12,0.9499999881,0.996999979,0.9499999881,0.9850000143,888000,0.0,0.0
11,2007-04-13,0.9980000257,0.9980000257,0.9660000205,0.9739999771,602000,0.0,0.0
12,2007-04-16,0.9700000286,1.0249999762,0.9599999785,1.0149999857,1354000,0.0,0.0
13,2007-04-17,1.0249999762,1.0399999619,1.006000042,1.0249999762,891000,0.0,0.0
14,2007-04-18,1.0429999828,1.0499999523,1.0039999485,1.0369999409,1008000,0.0,0.0
15,2007-04-19,1.0190000534,1.0290000439,0.9819999933,0.9890000224,719000,0.0,0.0
16,2007-04-20,1.0069999695,1.0069999695,0.9789999723,0.9860000014,1397000,0.0,0.0
17,2007-04-23,0.9769999981,1.0069999695,0.9769999981,0.9850000143,774000,0.0,0.0
18,2007-04-24,0.9900000095,1.0,0.97299999,0.9829999804,708000,0.0,0.0
19,2007-04-25,0.9800000191,1.0490000248,0.9800000191,1.0349999666,1600000,0.0,0.0
20,2007-04-26,1.0470000505,1.0470000505,1.0119999647,1.0190000534,734000,0.0,0.0
21,2007-04-27,1.0110000372,1.0399999619,0.9990000129,1.0199999809,1122000,0.0,0.0
22,2007-04-30,1.0199999809,1.1059999466,1.0199999809,1.0410000086,2719000,0.0,0.0
23,2007-05-02,1.0529999733,1.0640000105,1.0399999619,1.0399999619,609000,0.0,0.0
24,2007-05-03,1.0410000086,1.0499999523,1.0310000181,1.0429999828,843000,0.0,0.0
25,2007-05-04,1.0399999619,1.0599999428,1.0369999409,1.0579999685,722000,0.0,0.0
26,2007-05-07,1.0759999752,1.1050000191,1.0399999619,1.057000041,1741000,0.0,0.0
27,2007-05-08,1.0499999523,1.0599999428,1.0449999571,1.0499999523,1469000,0.0,0.0
28,2007-05-09,1.0889999866,1.1349999905,1.0499999523,1.1239999533,4082000,0.0,0.0
29,2007-05-10,1.0870000124,1.0870000124,0.9959999919,1.0149999857,4910000,0.0,0.0
30,2007-05-11,1.0219999552,1.0499999523,1.0,1.0399999619,2717000,0.0,0.0
31,2007-05-14,1.0440000296,1.0499999523,1.0199999809,1.0429999828,2098000,0.0,0.0
