idx,date,open,high,low,close,volume,dividends,stock_splits
1,2015-12-09,21.0,21.0,21.0,21.0,0,0.0,0.0
2,2015-12-10,27.6700000763,28.5,26.5,27.7800006866,15009100,0.0,0.0
3,2015-12-11,27.8500003815,28.5,27.4799995422,27.5,2286100,0.0,0.0
4,2015-12-14,27.5,27.8600006104,26.1100006104,26.2600002289,1223500,0.0,0.0
5,2015-12-15,26.3899993896,26.9489994049,26.2999992371,26.5,1086400,0.0,0.0
6,2015-12-16,26.75,26.9500007629,26.4699993134,26.5400009155,483700,0.0,0.0
7,2015-12-17,26.9400005341,28.1800003052,26.6499996185,28.0100002289,626900,0.0,0.0
8,2015-12-18,27.8999996185,28.2399997711,27.6599998474,28.2199993134,945200,0.0,0.0
9,2015-12-21,28.8400001526,29.8600006104,28.75,29.3500003815,876700,0.0,0.0
10,2015-12-22,30.1599998474,30.7399997711,29.5599994659,30.1000003815,954100,0.0,0.0
11,2015-12-23,30.5699996948,30.5699996948,28.3500003815,28.4899997711,1071300,0.0,0.0
12,2015-12-24,28.3299999237,28.8899993896,27.5100002289,28.2099990845,470800,0.0,0.0
13,2015-12-28,28.2800006866,28.9300003052,28.0,28.8999996185,342600,0.0,0.0
14,2015-12-29,29.2099990845,31.3099994659,29.2099990845,31.1000003815,888100,0.0,0.0
15,2015-12-30,31.4599990845,31.4599990845,30.0,30.2099990845,297400,0.0,0.0
16,2015-12-31,30.2199993134,31.0,29.9899997711,30.0799999237,304900,0.0,0.0
17,2016-01-04,28.9400005341,29.0300006866,27.2000007629,27.4099998474,1312000,0.0,0.0
18,2016-01-05,27.9099998474,28.0,26.2700004578,26.7700004578,917700,0.0,0.0
19,2016-01-06,26.4599990845,27.2299995422,26.0200004578,27.0499992371,619000,0.0,0.0
20,2016-01-07,26.5499992371,27.3190002441,26.4599990845,26.9699993134,661500,0.0,0.0
21,2016-01-08,27.0599994659,27.7600002289,26.9300003052,27.1700000763,455900,0.0,0.0
22,2016-01-11,27.1000003815,27.5,26.9500007629,27.1200008392,808100,0.0,0.0
23,2016-01-12,27.2000007629,27.4270000458,26.6399993896,26.8199996948,809000,0.0,0.0
24,2016-01-13,27.0,27.2000007629,26.0,26.7299995422,1231600,0.0,0.0
25,2016-01-14,26.6800003052,27.1399993896,25.75,26.8400001526,485200,0.0,0.0
26,2016-01-15,26.0400009155,26.3150005341,24.5200004578,25.1900005341,1183300,0.0,0.0
27,2016-01-19,25.2999992371,25.7099990845,23.0200004578,24.0200004578,1739400,0.0,0.0
28,2016-01-20,23.2099990845,23.6599998474,21.6200008392,22.6299991608,1944800,0.0,0.0
29,2016-01-21,22.7199993134,25.0799999237,22.0300006866,24.2399997711,759600,0.0,0.0
30,2016-01-22,25.1100006104,25.3250007629,24.2700004578,24.6100006104,673100,0.0,0.0
31,2016-01-25,24.5,24.6359996796,23.4500007629,23.6700000763,581700,0.0,0.0
32,2016-01-26,23.6800003052,24.2000007629,22.5799999237,24.0100002289,633600,0.0,0.0
33,2016-01-27,24.0200004578,24.6650009155,22.1299991608,22.2800006866,427200,0.0,0.0
34,2016-01-28,22.7199993134,22.9659996033,20.1700000763,20.3899993896,1331100,0.0,0.0
35,2016-01-29,20.9899997711,21.75,20.5200004578,20.7700004578,1261200,0.0,0.0
36,2016-02-02,21.0400009155,21.8199996948,20.6700000763,21.3400001526,641000,0.0,0.0
37,2016-02-03,21.9300003052,24.5,21.1200008392,23.7700004578,550100,0.0,0.0
