idx,date,open,high,low,close,volume,dividends,stock_splits
1,2007-04-19,40.6742952316,44.7417250638,39.7020007182,44.4014205933,15862400,0.0,0.0
2,2007-04-20,44.4014287376,46.6701142909,43.9152829372,46.2649917603,3054700,0.0,0.0
3,2007-04-23,46.3460117584,46.8969785717,45.8436607548,46.5890846252,1876400,0.0,0.0
4,2007-04-24,46.200167081,47.6424020924,46.200167081,47.3183059692,1532950,0.0,0.0
5,2007-04-25,47.8854752275,48.2095744433,46.2001673416,46.3622169495,1225350,0.0,0.0
6,2007-04-26,47.3993280452,47.4641491227,44.2393716058,45.6978149414,639700,0.0,0.0
7,2007-04-27,45.6978155021,46.183961226,44.8065442204,46.0219116211,178150,0.0,0.0
8,2007-04-30,46.1515497402,46.9293841189,45.3737153616,45.4547386169,182500,0.0,0.0
9,2007-05-02,45.049618249,46.3784225711,44.9848002598,45.6329956055,428500,0.0,0.0
10,2007-05-03,45.6167913133,46.5566753573,45.470946971,46.4270362854,182600,0.0,0.0
11,2007-05-04,46.6214960754,47.1562576292,46.0381187109,46.6701087952,139850,0.0,0.0
12,2007-05-07,46.5080635669,47.1562589394,46.1839643353,47.1076431274,293300,0.0,0.0
13,2007-05-08,47.2858896478,47.6423962669,46.994201009,47.4803466797,259600,0.0,0.0
14,2007-05-09,47.7558371837,50.6727209158,47.4641515922,49.9921150208,594800,0.0,0.0
15,2007-05-10,49.9921110753,49.9921110753,48.1771611347,49.279094696,568650,0.0,0.0
16,2007-05-11,49.992111686,51.223684323,49.7490388305,50.08934021,646250,0.0,0.0
17,2007-05-14,51.0454339765,51.8556789602,50.2351889927,51.7260398865,390950,0.0,0.0
18,2007-05-15,55.0966569156,56.2310010885,54.5943028184,55.436958313,1224750,0.0,0.0
19,2007-05-16,56.3120208592,56.5388884433,55.3397294465,55.6800308228,239550,0.0,0.0
20,2007-05-17,55.8258794236,59.4395712321,55.8096710626,58.9858360291,592000,0.0,0.0
21,2007-05-18,59.1478884953,60.3632560671,57.9325209235,59.2775306702,905150,0.0,0.0
22,2007-05-21,59.4395730364,59.779874449,54.3512354818,55.9717254639,708900,0.0,0.0
23,2007-05-22,56.3930509674,56.7171502049,51.5964020337,54.6267166138,1950650,0.0,0.0
24,2007-05-23,55.5017712554,56.506473121,54.2864040016,54.4160461426,620950,0.0,0.0
25,2007-05-24,54.7401432052,55.9068978338,54.6105072363,54.9832191467,600050,0.0,0.0
26,2007-05-25,54.9832266608,57.04124972,54.8535844925,56.7333526611,381600,0.0,0.0
27,2007-05-29,58.5645104,58.5645104,54.3674408528,54.9346160889,443000,0.0,0.0
28,2007-05-30,55.0480441705,58.1269712877,54.5456900734,58.0459480286,431550,0.0,0.0
