idx,date,open,high,low,close,volume,dividends,stock_splits
1,2010-06-29,1.2666670084,1.6666669846,1.1693329811,1.5926669836,281494500,0.0,0.0
2,2010-06-30,1.7193330526,2.0280001163,1.5533330441,1.5886670351,257806500,0.0,0.0
3,2010-07-02,1.5333329439,1.5399999619,1.2473330498,1.2799999714,77097000,0.0,0.0
4,2010-07-06,1.3333330154,1.3333330154,1.0553330183,1.074000001,103003500,0.0,0.0
5,2010-07-07,1.0933330059,1.108667016,0.9986670017,1.0533330441,103825500,0.0,0.0
6,2010-07-08,1.0759999752,1.1679999828,1.0379999876,1.1640000343,115671000,0.0,0.0
7,2010-07-09,1.1720000505,1.1933330297,1.1033329964,1.1599999666,60759000,0.0,0.0
8,2010-07-12,1.1966669559,1.2046669722,1.1333329678,1.1366670132,33037500,0.0,0.0
9,2010-07-13,1.1593329906,1.2426669598,1.1266670227,1.209332943,40201500,0.0,0.0
10,2010-07-14,1.19599998,1.3433330059,1.1840000153,1.3226670027,62928000,0.0,0.0
11,2010-07-15,1.3293329477,1.4333330393,1.2666670084,1.3259999752,56097000,0.0,0.0
12,2010-07-16,1.3799999952,1.4199999571,1.3366669416,1.3760000467,39319500,0.0,0.0
13,2010-07-19,1.4246670008,1.4833329916,1.3946670294,1.4606670141,37297500,0.0,0.0
14,2010-07-20,1.4566669464,1.4566669464,1.3366669416,1.3533329964,27379500,0.0,0.0
15,2010-07-21,1.377333045,1.3933329582,1.2999999523,1.3480000496,18787500,0.0,0.0
16,2010-07-22,1.3666670322,1.4166669846,1.3580000401,1.3999999762,14367000,0.0,0.0
17,2010-07-23,1.4126670361,1.4373329878,1.4040000439,1.4193329811,9804000,0.0,0.0
18,2010-07-26,1.4333330393,1.4333330393,1.3533329964,1.3966670036,13833000,0.0,0.0
19,2010-07-27,1.3940000534,1.4119999409,1.3506669998,1.3700000048,9295500,0.0,0.0
20,2010-07-28,1.3700000048,1.3933329582,1.3673330545,1.3813329935,7008000,0.0,0.0
21,2010-07-29,1.3846670389,1.3919999599,1.3333330154,1.3566670418,9240000,0.0,0.0
22,2010-07-30,1.3466670513,1.3626669645,1.3033330441,1.3293329477,6403500,0.0,0.0
23,2010-08-02,1.3666670322,1.3980000019,1.3553329706,1.3946670294,10771500,0.0,0.0
24,2010-08-03,1.3999999762,1.4633330107,1.3880000114,1.4633330107,18457500,0.0,0.0
25,2010-08-04,1.4633330107,1.4786670208,1.3899999857,1.4173330069,13695000,0.0,0.0
26,2010-08-05,1.4359999895,1.4366669655,1.3366669416,1.3633329868,11943000,0.0,0.0
27,2010-08-06,1.3400000334,1.3439999819,1.3013329506,1.3059999943,11128500,0.0,0.0
28,2010-08-09,1.3266669512,1.3320000172,1.2966669798,1.3066669703,12190500,0.0,0.0
29,2010-08-10,1.3099999428,1.3099999428,1.2546670437,1.2686669827,19219500,0.0,0.0
30,2010-08-11,1.2460000515,1.2586669922,1.1900000572,1.1933330297,11964000,0.0,0.0
31,2010-08-12,1.1866669655,1.1933330297,1.1593329906,1.1733330488,10365000,0.0,0.0
32,2010-08-13,1.2120000124,1.2300000191,1.1773329973,1.2213330269,9510000,0.0,0.0
33,2010-08-16,1.2300000191,1.2533329725,1.2173329592,1.2519999743,7287000,0.0,0.0
34,2010-08-17,1.2640000582,1.2933330536,1.2519999743,1.2766669989,6718500,0.0,0.0
35,2010-08-18,1.3059999943,1.3059999943,1.2400000095,1.2513329983,9019500,0.0,0.0
36,2010-08-19,1.2359999418,1.2833329439,1.2220000029,1.2526669502,8686500,0.0,0.0
37,2010-08-20,1.2433329821,1.2740000486,1.2339999676,1.2733329535,4440000,0.0,0.0
38,2010-08-23,1.2726670504,1.3593330383,1.2666670084,1.3420000076,16321500,0.0,0.0
39,2010-08-24,1.2833329439,1.3140000105,1.263332963,1.2799999714,10096500,0.0,0.0
40,2010-08-25,1.2773330212,1.3320000172,1.2373330593,1.3266669512,7549500,0.0,0.0
41,2010-08-26,1.3259999752,1.3513330221,1.3066669703,1.3166669607,6507000,0.0,0.0
42,2010-08-27,1.3166669607,1.3246669769,1.2999999523,1.3133330345,5694000,0.0,0.0
43,2010-08-30,1.3133330345,1.3459999561,1.3073329926,1.3246669769,10992000,0.0,0.0
44,2010-08-31,1.310667038,1.3193329573,1.2886669636,1.298666954,3016500,0.0,0.0
45,2010-09-02,1.3580000401,1.4160000086,1.3539999723,1.4040000439,7306500,0.0,0.0
46,2010-09-03,1.391332984,1.4199999571,1.377333045,1.4033329487,6519000,0.0,0.0
47,2010-09-07,1.3739999533,1.3999999762,1.3666670322,1.3693330288,3651000,0.0,0.0
48,2010-09-08,1.377333045,1.3966670036,1.3733329773,1.3933329582,4326000,0.0,0.0
49,2010-09-09,1.3999999762,1.4033329487,1.3793330193,1.3806669712,5643000,0.0,0.0
50,2010-09-10,1.3833329678,1.3953330517,1.317332983,1.3446669579,5799000,0.0,0.0
51,2010-09-13,1.3926670551,1.3933329582,1.3666670322,1.3813329935,5412000,0.0,0.0
52,2010-09-14,1.3693330288,1.4400000572,1.3686670065,1.4079999924,9820500,0.0,0.0
53,2010-09-15,1.3986669779,1.4666670561,1.3860000372,1.4653329849,10269000,0.0,0.0
54,2010-09-16,1.4766670465,1.5440000296,1.3893330097,1.3960000277,40267500,0.0,0.0
55,2010-09-17,1.4013329744,1.4213329554,1.3200000525,1.3486670256,17977500,0.0,0.0
56,2010-09-20,1.378000021,1.4233330488,1.3439999819,1.4040000439,14212500,0.0,0.0
57,2010-09-21,1.3926670551,1.4366669655,1.378000021,1.3846670389,11940000,0.0,0.0
58,2010-09-22,1.391332984,1.3966670036,1.3200000525,1.3246669769,14443500,0.0,0.0
59,2010-09-23,1.3259999752,1.3426669836,1.2999999523,1.30400002,10021500,0.0,0.0
60,2010-09-24,1.3300000429,1.3459999561,1.3099999428,1.3400000334,8683500,0.0,0.0
61,2010-09-27,1.3600000143,1.3873330355,1.3366669416,1.3686670065,6279000,0.0,0.0
62,2010-09-28,1.4026670456,1.432667017,1.3839999437,1.426666975,18217500,0.0,0.0
63,2010-09-29,1.4126670361,1.4686670303,1.4086669683,1.4653329849,29539500,0.0,0.0
64,2010-09-30,1.4666670561,1.4766670465,1.3459999561,1.3606669903,32937000,0.0,0.0
65,2010-10-04,1.3619999886,1.4113329649,1.3533329964,1.3993330002,9654000,0.0,0.0
66,2010-10-05,1.4099999666,1.4186669588,1.4006669521,1.4079999924,4980000,0.0,0.0
67,2010-10-06,1.4040000439,1.4173330069,1.3546669483,1.3639999628,4701000,0.0,0.0
68,2010-10-07,1.371333003,1.3760000467,1.3559999466,1.3619999886,2115000,0.0,0.0
69,2010-10-08,1.3619999886,1.3860000372,1.3593330383,1.3619999886,4017000,0.0,0.0
70,2010-10-11,1.3626669645,1.3799999952,1.3380000591,1.3493330479,2568000,0.0,0.0
71,2010-10-12,1.3466670513,1.3519999981,1.3353329897,1.3493330479,3660000,0.0,0.0
72,2010-10-13,1.3760000467,1.3899999857,1.3573329449,1.3693330288,4773000,0.0,0.0
73,2010-10-14,1.3999999762,1.4019999504,1.3600000143,1.3833329678,4422000,0.0,0.0
74,2010-10-15,1.3926670551,1.3933329582,1.3500000238,1.3693330288,4270500,0.0,0.0
75,2010-10-18,1.3680000305,1.3760000467,1.3480000496,1.3486670256,2442000,0.0,0.0
76,2010-10-19,1.3466670513,1.3606669903,1.3333330154,1.3366669416,3678000,0.0,0.0
77,2010-10-20,1.3439999819,1.3793330193,1.3359999657,1.3766670227,4687500,0.0,0.0
78,2010-10-21,1.3739999533,1.3966670036,1.3633329868,1.3833329678,6256500,0.0,0.0
79,2010-10-22,1.378666997,1.3953330517,1.3700000048,1.3813329935,2416500,0.0,0.0
80,2010-10-25,1.3960000277,1.3986669779,1.3819999695,1.3899999857,1777500,0.0,0.0
81,2010-10-26,1.3866670132,1.4579999447,1.3673330545,1.4240000248,9913500,0.0,0.0
82,2010-10-27,1.4166669846,1.4253330231,1.3766670227,1.3999999762,5347500,0.0,0.0
83,2010-10-28,1.425999999,1.4333330393,1.3973330259,1.4126670361,3363000,0.0,0.0
84,2010-10-29,1.4093329906,1.4566669464,1.4033329487,1.4559999704,4209000,0.0,0.0
85,2010-11-02,1.445333004,1.4586670399,1.4033329487,1.4166669846,4837500,0.0,0.0
86,2010-11-03,1.4186669588,1.5,1.4106669426,1.451333046,5589000,0.0,0.0
87,2010-11-04,1.5066670179,1.6886670589,1.4766670465,1.6599999666,28110000,0.0,0.0
88,2010-11-05,1.6579999924,1.6646670103,1.5813330412,1.6293330193,15165000,0.0,0.0
89,2010-11-08,1.6333329678,1.6666669846,1.6019999981,1.6653330326,7642500,0.0,0.0
90,2010-11-09,1.6666669846,1.7126669884,1.6033329964,1.6419999599,14346000,0.0,0.0
91,2010-11-10,1.6319999695,1.9980000257,1.6033329964,1.9573329687,45907500,0.0,0.0
92,2010-11-11,1.9066669941,1.9400000572,1.8220000267,1.8693330288,29179500,0.0,0.0
93,2010-11-12,1.8833329678,2.0333330631,1.871333003,1.9893330336,40936500,0.0,0.0
94,2010-11-15,2.0146670341,2.1960000992,2.0146670341,2.0533330441,39343500,0.0,0.0
95,2010-11-16,2.0666670799,2.0933330059,1.8946670294,1.9780000448,20214000,0.0,0.0
96,2010-11-17,2.0133330822,2.0499999523,1.9073330164,1.9659999609,11250000,0.0,0.0
97,2010-11-18,2.0446670055,2.0493330956,1.9279999733,1.9926669598,14341500,0.0,0.0
98,2010-11-19,2.0106670856,2.0913329124,1.9800000191,2.0659999847,17257500,0.0,0.0
99,2010-11-22,2.1046669483,2.2300000191,2.0999999046,2.2266669273,22945500,0.0,0.0
100,2010-11-23,2.2193329334,2.3786671162,2.1459999084,2.304666996,23667000,0.0,0.0
101,2010-11-24,2.3513329029,2.3980000019,2.2886669636,2.3646669388,21375000,0.0,0.0
102,2010-11-26,2.3733329773,2.4000000954,2.3166670799,2.3546669483,5259000,0.0,0.0
