idx,date,open,high,low,close,volume,dividends,stock_splits
1,2016-09-21,2.875,3.0399999619,2.7799999714,3.0099999905,63438000,0.0,0.0
2,2016-09-22,3.0999999046,3.1700000763,2.8410000801,2.8900001049,22728000,0.0,0.0
3,2016-09-23,2.8849999905,2.8900001049,2.6840000153,2.7660000324,10587000,0.0,0.0
4,2016-09-26,2.7100000381,2.8420000076,2.7000000477,2.7769999504,3061000,0.0,0.0
5,2016-09-27,2.8329999447,3.084800005,2.7339999676,2.9979999065,10158000,0.0,0.0
6,2016-09-28,3.0729999542,3.3399999142,3.0020000935,3.3389999866,20565000,0.0,0.0
7,2016-09-29,3.2599999905,3.3194999695,2.8800001144,2.8989999294,17033000,0.0,0.0
8,2016-09-30,2.9349999428,3.0950000286,2.9189999104,2.9210000038,9490000,0.0,0.0
9,2016-10-03,2.9119999409,2.9316999912,2.618999958,2.6380000114,10804000,0.0,0.0
10,2016-10-04,2.638999939,2.7249999046,2.3629999161,2.382999897,13381000,0.0,0.0
11,2016-10-05,2.4419999123,2.5199999809,2.3499999046,2.4779999256,9634000,0.0,0.0
12,2016-10-06,2.5120000839,2.6940000057,2.4612998962,2.6080000401,8553000,0.0,0.0
13,2016-10-07,2.5280001163,2.6489999294,2.5020000935,2.6259999275,4485000,0.0,0.0
14,2016-10-10,2.5769999027,2.6370000839,2.5100998878,2.5280001163,3645000,0.0,0.0
15,2016-10-11,2.506000042,2.5924999714,2.3499999046,2.5520000458,5394000,0.0,0.0
16,2016-10-12,2.5320000648,2.6960000992,2.5320000648,2.6900000572,3318000,0.0,0.0
17,2016-10-13,2.6400001049,2.6730000973,2.5499999523,2.5969998837,2453000,0.0,0.0
18,2016-10-14,2.611000061,2.7239999771,2.6050000191,2.635999918,2229000,0.0,0.0
19,2016-10-17,2.7019999027,2.7249999046,2.614000082,2.6270000935,3376000,0.0,0.0
20,2016-10-18,2.6270000935,2.6507999897,2.5810000896,2.5880000591,1716000,0.0,0.0
21,2016-10-19,2.5750000477,2.621999979,2.5250999928,2.5460000038,1116000,0.0,0.0
22,2016-10-20,2.5099999905,2.6659998894,2.5050001144,2.6489999294,1041000,0.0,0.0
23,2016-10-21,2.6510000229,2.75,2.6240000725,2.7479999065,2359000,0.0,0.0
24,2016-10-24,2.7379999161,2.8699998856,2.7049999237,2.8519999981,2728000,0.0,0.0
25,2016-10-25,2.861000061,2.9470000267,2.8568000793,2.8800001144,2805000,0.0,0.0
26,2016-10-26,2.8949999809,2.9089999199,2.7890000343,2.8180000782,1825000,0.0,0.0
27,2016-10-27,2.8159999847,2.8596999645,2.5439999104,2.5520000458,3674000,0.0,0.0
28,2016-10-28,2.5750000477,2.6754999161,2.5499999523,2.5610001087,1685000,0.0,0.0
29,2016-10-31,2.6010000706,2.6010000706,2.4170000553,2.5179998875,1765000,0.0,0.0
30,2016-11-02,2.5020000935,2.5999999046,2.4200000763,2.4430000782,1825000,0.0,0.0
31,2016-11-03,2.4260001183,2.4512000084,2.2009999752,2.2899999619,4019000,0.0,0.0
32,2016-11-04,2.2929999828,2.418900013,2.2790000439,2.3870000839,1537000,0.0,0.0
33,2016-11-07,2.4159998894,2.4340000153,2.2274999619,2.2899999619,2068000,0.0,0.0
34,2016-11-08,2.4260001183,2.4300000668,2.2550001144,2.2799999714,5774000,0.0,0.0
35,2016-11-09,2.2149999142,2.3499999046,2.2000000477,2.2950000763,5573000,0.0,0.0
36,2016-11-10,2.3900001049,2.4340000153,2.318500042,2.3429999352,5620000,0.0,0.0
37,2016-11-11,2.5009999275,2.6489999294,2.4019999504,2.5450000763,11264000,0.0,0.0
38,2016-11-14,2.5569999218,2.7349998951,2.5499999523,2.5769999027,6952000,0.0,0.0
39,2016-11-15,2.5840001106,2.6119999886,2.503000021,2.5250000954,5441000,0.0,0.0
40,2016-11-16,2.5,2.5969998837,2.4800000191,2.5360000134,4681000,0.0,0.0
41,2016-11-17,2.5569999218,2.6459999084,2.5409998894,2.5929999352,6080000,0.0,0.0
42,2016-11-18,2.5969998837,2.9249999523,2.5969998837,2.9100000858,8259000,0.0,0.0
43,2016-11-21,2.885999918,3.0480000973,2.7999999523,2.9330000877,7483000,0.0,0.0
44,2016-11-22,2.9400000572,2.9600000381,2.8320000172,2.8729999065,3833000,0.0,0.0
45,2016-11-23,2.8710000515,3.0499999523,2.8190000057,3.0190000534,5275000,0.0,0.0
46,2016-11-25,2.9990000725,3.0480000973,2.8659999371,2.9079999924,2576000,0.0,0.0
47,2016-11-28,2.9279999733,2.9279999733,2.5710000992,2.6700000763,9057000,0.0,0.0
48,2016-11-29,2.6649999619,2.7780001163,2.5499999523,2.7119998932,4603000,0.0,0.0
49,2016-11-30,2.6940000057,2.7837998867,2.5815000534,2.6579999924,3137000,0.0,0.0
50,2016-12-02,2.5869998932,2.6480000019,2.5620000362,2.6199998856,3055000,0.0,0.0
51,2016-12-05,2.6199998856,2.7209999561,2.6091001034,2.6619999409,2795000,0.0,0.0
52,2016-12-06,2.6610000134,2.8410000801,2.6080000401,2.8099999428,5033000,0.0,0.0
53,2016-12-07,2.8120000362,2.8524999619,2.7460000515,2.757999897,2082000,0.0,0.0
54,2016-12-08,2.753000021,2.8638999462,2.7000000477,2.7409999371,1664000,0.0,0.0
55,2016-12-09,2.756000042,2.8429999352,2.7060000896,2.746999979,3625000,0.0,0.0
56,2016-12-12,2.864000082,2.9549999237,2.8099999428,2.9360001087,4978000,0.0,0.0
57,2016-12-13,2.9400000572,3.0380001068,2.867000103,2.9289999008,5632000,0.0,0.0
58,2016-12-14,2.9119999409,2.9549999237,2.7929999828,2.7999999523,5030000,0.0,0.0
59,2016-12-15,2.8099999428,2.9649999142,2.8039999008,2.9519999027,4314000,0.0,0.0
60,2016-12-16,2.9690001011,2.996999979,2.864000082,2.9230000973,11764000,0.0,0.0
61,2016-12-19,2.9360001087,2.9900000095,2.8759999275,2.9219999313,3269000,0.0,0.0
62,2016-12-20,2.9389998913,3.1429998875,2.8929998875,3.1099998951,5311000,0.0,0.0
63,2016-12-21,3.121999979,3.121999979,2.9839999676,3.0360000134,3475000,0.0,0.0
64,2016-12-22,3.0199999809,3.0915000439,2.9500000477,3.0320000648,2712000,0.0,0.0
65,2016-12-23,3.0460000038,3.0739998817,2.9549999237,3.0150001049,1064000,0.0,0.0
66,2016-12-27,3.0460000038,3.0629999638,2.9600000381,2.993999958,1709000,0.0,0.0
67,2016-12-28,2.9849998951,3.0225000381,2.8440001011,2.8489999771,2334000,0.0,0.0
68,2016-12-29,2.8599998951,2.9119999409,2.8120000362,2.8380000591,2070000,0.0,0.0
69,2016-12-30,2.8350000381,2.8729999065,2.6930000782,2.7669999599,2850000,0.0,0.0
70,2017-01-03,2.8050000668,2.8759999275,2.6449999809,2.6930000782,4430000,0.0,0.0
71,2017-01-04,2.7009999752,2.8650000095,2.6400001049,2.7100000381,4258000,0.0,0.0
72,2017-01-05,2.6900000572,2.7709999084,2.6519999504,2.7449998856,1615000,0.0,0.0
73,2017-01-06,2.7509999275,2.7899999619,2.6900000572,2.7699999809,2368000,0.0,0.0
74,2017-01-09,2.756000042,2.8940000534,2.7330000401,2.8440001011,2490000,0.0,0.0
75,2017-01-10,2.8420000076,2.9000000954,2.7750000954,2.885999918,3098000,0.0,0.0
76,2017-01-11,2.8789999485,3.0099999905,2.8289999962,2.9749999046,2555000,0.0,0.0
77,2017-01-12,2.9630000591,2.9739999771,2.8536999226,2.9370000362,1442000,0.0,0.0
78,2017-01-13,2.9419999123,3.0499999523,2.9200000763,2.9349999428,1628000,0.0,0.0
79,2017-01-17,2.9219999313,2.9519999027,2.8870000839,2.8989999294,698000,0.0,0.0
80,2017-01-18,2.9110000134,2.9509999752,2.8580000401,2.9010000229,1296000,0.0,0.0
81,2017-01-19,2.8629999161,2.9219999313,2.8599998951,2.9000000954,992000,0.0,0.0
82,2017-01-20,2.8980000019,2.9600000381,2.8980000019,2.9260001183,810000,0.0,0.0
83,2017-01-23,2.9289999008,2.992000103,2.9170000553,2.9790000916,748000,0.0,0.0
84,2017-01-24,2.996999979,3.0039999485,2.9300000668,2.9649999142,1546000,0.0,0.0
85,2017-01-25,2.992000103,3.125,2.9800000191,3.0409998894,2513000,0.0,0.0
86,2017-01-26,3.0390000343,3.1099998951,3.0220000744,3.0780000687,1532000,0.0,0.0
87,2017-01-27,3.0690000057,3.105700016,3.0460000038,3.0829999447,1338000,0.0,0.0
88,2017-01-30,3.0699999332,3.0894999504,2.9300000668,2.9749999046,3095000,0.0,0.0
89,2017-01-31,2.9639999866,3.0120000839,2.9119999409,2.9660000801,3387000,0.0,0.0
90,2017-02-02,2.9379999638,2.9500000477,2.8910000324,2.9019999504,774000,0.0,0.0
91,2017-02-03,2.9230000973,2.9230000973,2.8440001011,2.8919999599,2289000,0.0,0.0
92,2017-02-06,2.8740000725,2.8989999294,2.8280000687,2.8800001144,848000,0.0,0.0
93,2017-02-07,2.9460000992,2.9460000992,2.8110001087,2.8550000191,1215000,0.0,0.0
94,2017-02-08,2.8429999352,2.9010000229,2.8229999542,2.8340001106,631000,0.0,0.0
95,2017-02-09,2.8369998932,2.9110000134,2.8359999657,2.9040000439,1194000,0.0,0.0
