idx,date,open,high,low,close,volume,dividends,stock_splits
1,1972-06-02,0.720528776,0.727619488,0.720528776,0.7259832621,2496000,0.0,0.0
2,1972-06-05,0.7259833289,0.7341648589,0.7243471028,0.7270741463,960000,0.0,0.0
3,1972-06-06,0.7270742789,0.7287105053,0.6965293884,0.6965293884,1824000,0.0,0.0
4,1972-06-07,0.6965291614,0.6998020127,0.6938021183,0.6938021183,604800,0.0,0.0
5,1972-06-08,0.6938023042,0.702529244,0.6932568954,0.6948931217,1180800,0.0,0.0
6,1972-06-09,0.6948930406,0.695983858,0.6861661017,0.6916205883,451200,0.0,0.0
7,1972-06-12,0.69434772,0.6965293551,0.69434772,0.6959839463,153600,0.0,0.0
8,1972-06-13,0.699257208,0.7248930335,0.699257208,0.7248930335,700800,0.0,0.0
9,1972-06-14,0.7287103866,0.7407101774,0.7287103866,0.7374377251,787200,0.0,0.0
10,1972-06-15,0.7374380495,0.7461649923,0.7341651963,0.7368926406,787200,0.0,0.0
11,1972-06-16,0.734710288,0.734710288,0.7254379403,0.7319832444,576000,0.0,0.0
12,1972-06-19,0.7292557621,0.7292557621,0.7243470839,0.7287103534,720000,0.0,0.0
13,1972-06-20,0.7341649537,0.7407102585,0.7341649537,0.7407102585,460800,0.0,0.0
14,1972-06-21,0.7407099303,0.7472552322,0.736346662,0.736346662,1872000,0.0,0.0
15,1972-06-22,0.7363472316,0.7374380495,0.7330743784,0.7368926406,604800,0.0,0.0
16,1972-06-23,0.7385281963,0.7456189058,0.7385281963,0.7450734973,787200,0.0,0.0
17,1972-06-26,0.7439830899,0.7439830899,0.7401648291,0.7439830899,470400,0.0,0.0
18,1972-06-27,0.7439834567,0.7461650928,0.7330744771,0.7385289669,1008000,0.0,0.0
19,1972-06-28,0.7374374985,0.7374374985,0.7330738306,0.7330738306,57600,0.0,0.0
20,1972-06-29,0.7270742108,0.7270742108,0.7221651326,0.7232563496,326400,0.0,0.0
21,1972-06-30,0.7259831009,0.7407099303,0.7259831009,0.736346662,441600,0.0,0.0
22,1972-07-03,0.7361716244,0.7361716244,0.7318029192,0.7339872718,422400,0.002188,0.0
23,1972-07-05,0.7339882501,0.7623864717,0.7328960723,0.7569255829,1065600,0.0,0.0
24,1972-07-06,0.7602017007,0.7678473408,0.7602017007,0.7667551637,1008000,0.0,0.0
25,1972-07-07,0.7667549672,0.777677536,0.7656627904,0.777677536,1094400,0.0,0.0
26,1972-07-10,0.7744007955,0.7744007955,0.7602016926,0.7602016926,1344000,0.0,0.0
27,1972-07-11,0.7602016926,0.7662090669,0.7569251611,0.7602016926,739200,0.0,0.0
28,1972-07-12,0.7602013016,0.7662086728,0.7558321953,0.7558321953,604800,0.0,0.0
29,1972-07-13,0.75583222,0.75583222,0.7481865837,0.7503713369,422400,0.0,0.0
30,1972-07-14,0.7514637113,0.7574710842,0.7514637113,0.7514637113,364800,0.0,0.0
31,1972-07-17,0.7514637849,0.7514637849,0.7307112217,0.7307112217,547200,0.0,0.0
32,1972-07-18,0.7263422623,0.7263422623,0.711050981,0.7203348875,1161600,0.0,0.0
33,1972-07-19,0.7274341313,0.7394488758,0.7274341313,0.7318032384,1219200,0.0,0.0
34,1972-07-20,0.7301645627,0.7301645627,0.7252497673,0.7252497673,643200,0.0,0.0
35,1972-07-21,0.7252497355,0.7421792746,0.7236110705,0.7421792746,1420800,0.0,0.0
36,1972-07-24,0.7498251637,0.7667551084,0.7498251637,0.7634785771,2448000,0.0,0.0
37,1972-07-25,0.7634781738,0.7634781738,0.7585629795,0.761839509,316800,0.0,0.0
