idx,date,open,high,low,close,volume,dividends,stock_splits
1,1990-01-02,17.2399997711,17.2399997711,17.2399997711,17.2399997711,0,0.0,0.0
2,1990-01-03,18.1900005341,18.1900005341,18.1900005341,18.1900005341,0,0.0,0.0
3,1990-01-04,19.2199993134,19.2199993134,19.2199993134,19.2199993134,0,0.0,0.0
4,1990-01-05,20.1100006104,20.1100006104,20.1100006104,20.1100006104,0,0.0,0.0
5,1990-01-08,20.2600002289,20.2600002289,20.2600002289,20.2600002289,0,0.0,0.0
6,1990-01-09,22.2000007629,22.2000007629,22.2000007629,22.2000007629,0,0.0,0.0
7,1990-01-10,22.4400005341,22.4400005341,22.4400005341,22.4400005341,0,0.0,0.0
8,1990-01-11,20.0499992371,20.0499992371,20.0499992371,20.0499992371,0,0.0,0.0
9,1990-01-12,24.6399993896,24.6399993896,24.6399993896,24.6399993896,0,0.0,0.0
10,1990-01-15,26.3400001526,26.3400001526,26.3400001526,26.3400001526,0,0.0,0.0
11,1990-01-16,24.1800003052,24.1800003052,24.1800003052,24.1800003052,0,0.0,0.0
12,1990-01-17,24.1599998474,24.1599998474,24.1599998474,24.1599998474,0,0.0,0.0
13,1990-01-18,24.3400001526,24.3400001526,24.3400001526,24.3400001526,0,0.0,0.0
14,1990-01-19,22.5,22.5,22.5,22.5,0,0.0,0.0
15,1990-01-22,26.7000007629,26.7000007629,26.7000007629,26.7000007629,0,0.0,0.0
16,1990-01-23,24.7199993134,24.7199993134,24.7199993134,24.7199993134,0,0.0,0.0
17,1990-01-24,25.3899993896,25.3899993896,25.3899993896,25.3899993896,0,0.0,0.0
18,1990-01-25,25.6299991608,25.6299991608,25.6299991608,25.6299991608,0,0.0,0.0
19,1990-01-26,26.2800006866,26.2800006866,26.2800006866,26.2800006866,0,0.0,0.0
20,1990-01-29,26.4400005341,26.4400005341,26.4400005341,26.4400005341,0,0.0,0.0
21,1990-01-30,27.25,27.25,27.25,27.25,0,0.0,0.0
22,1990-01-31,25.3600006104,25.3600006104,25.3600006104,25.3600006104,0,0.0,0.0
23,1990-02-02,24.3199996948,24.3199996948,24.3199996948,24.3199996948,0,0.0,0.0
24,1990-02-05,24.5400009155,24.5400009155,24.5400009155,24.5400009155,0,0.0,0.0
25,1990-02-06,24.6900005341,24.6900005341,24.6900005341,24.6900005341,0,0.0,0.0
26,1990-02-07,24.2900009155,24.2900009155,24.2900009155,24.2900009155,0,0.0,0.0
27,1990-02-08,23.7700004578,23.7700004578,23.7700004578,23.7700004578,0,0.0,0.0
28,1990-02-09,23.6900005341,23.6900005341,23.6900005341,23.6900005341,0,0.0,0.0
29,1990-02-12,24.3799991608,24.3799991608,24.3799991608,24.3799991608,0,0.0,0.0
30,1990-02-13,23.7600002289,23.7600002289,23.7600002289,23.7600002289,0,0.0,0.0
31,1990-02-14,22.0499992371,22.0499992371,22.0499992371,22.0499992371,0,0.0,0.0
32,1990-02-15,19.7099990845,19.7099990845,19.7099990845,19.7099990845,0,0.0,0.0
