idx,date,open,high,low,close,volume,dividends,stock_splits
1,2009-10-07,25.9808176219,27.8764543951,25.4130884974,26.1925125122,63739500,0.0,0.0
2,2009-10-08,26.2983606293,26.4042089911,25.4996911314,25.595916748,6906700,0.0,0.0
3,2009-10-09,25.8172380106,26.4523246001,25.3842235926,25.4034690857,3361300,0.0,0.0
4,2009-10-12,26.2598740521,26.8468468837,25.1147929565,25.2591304779,7177000,0.0,0.0
5,2009-10-13,25.6632805566,26.2310098179,25.5381885084,26.16365242,3296000,0.0,0.0
6,2009-10-14,26.221383978,27.1740138546,25.9808208223,26.9334506989,3222400,0.0,0.0
7,2009-10-15,27.2125066561,27.7128766586,26.7025120712,27.2413730621,3181300,0.0,0.0
8,2009-10-16,27.3760906834,27.5204282247,26.5100617651,27.4915599823,3974100,0.0,0.0
9,2009-10-19,27.4434465575,27.7994790172,26.4619483948,26.4619483948,1892100,0.0,0.0
10,2009-10-20,26.4619514869,27.0393035227,26.3176139367,27.0008125305,3387000,0.0,0.0
11,2009-10-21,26.9430713654,27.2798601245,26.8083565958,26.9430713654,1079000,0.0,0.0
12,2009-10-22,26.7121291305,27.404950257,26.2887375243,26.8372211456,1172500,0.0,0.0
13,2009-10-23,26.943074217,27.3183521634,26.4715706384,27.2991085052,2385700,0.0,0.0
14,2009-10-26,26.7794879037,27.5204227942,26.7121305201,27.3760852814,834400,0.0,0.0
15,2009-10-27,27.4626918427,28.1458903515,26.8757171319,27.4819355011,1578700,0.0,0.0
16,2009-10-28,27.1451511844,27.4723172902,26.5196872182,26.6447811127,1153500,0.0,0.0
17,2009-10-29,26.8275984006,26.943069506,26.7025063854,26.8372211456,563500,0.0,0.0
18,2009-10-30,26.9430721455,27.0104295322,26.2694946077,26.3945884705,819600,0.0,0.0
19,2009-11-02,26.3464777538,26.6062864197,25.5959218328,26.336856842,978000,0.0,0.0
20,2009-11-03,26.3945878386,26.4523224779,25.8364814309,26.3272304535,696500,0.0,0.0
21,2009-11-04,26.2983656124,26.4427031471,25.9327104024,25.9423313141,461200,0.0,0.0
22,2009-11-05,26.0000673472,26.5581738173,25.9519536129,26.2694969177,470400,0.0,0.0
23,2009-11-06,26.1251592467,26.3079877652,25.9327098167,26.077047348,310800,0.0,0.0
24,2009-11-09,26.2213875574,26.6447792832,26.0289362724,26.5389308929,615600,0.0,0.0
25,2009-11-10,26.2213897017,27.1932652833,26.2213897017,26.625535965,287300,0.0,0.0
26,2009-11-11,26.8757189732,28.0208002328,26.5870420537,27.8860836029,1174600,0.0,0.0
