idx,date,open,high,low,close,volume,dividends,stock_splits
1,1991-07-24,4.5625,4.625,4.5,4.5,2001000,0.0,0.0
2,1991-07-25,4.5,4.625,4.5,4.5625,314600,0.0,0.0
3,1991-07-26,4.625,4.625,4.5,4.5,2001000,0.0,0.0
4,1991-07-29,4.625,4.625,4.5,4.625,75400,0.0,0.0
5,1991-07-30,4.625,4.625,4.5,4.5,354400,0.0,0.0
6,1991-07-31,4.625,4.625,4.5,4.5,372000,0.0,0.0
7,1991-08-02,4.625,4.625,4.5625,4.5625,220800,0.0,0.0
8,1991-08-05,4.625,4.625,4.5,4.625,103800,0.0,0.0
9,1991-08-06,4.5625,4.625,4.5625,4.625,124600,0.0,0.0
10,1991-08-07,4.625,4.625,4.5,4.5,222400,0.0,0.0
11,1991-08-08,4.625,4.625,4.5,4.5625,97000,0.0,0.0
12,1991-08-09,4.5,4.625,4.5,4.5,172000,0.0,0.0
13,1991-08-12,4.5,4.625,4.5,4.5,41600,0.0,0.0
14,1991-08-13,4.625,4.625,4.5,4.5,63000,0.0,0.0
15,1991-08-14,4.625,4.625,4.5625,4.625,102200,0.0,0.0
16,1991-08-15,4.5,4.625,4.5,4.5,31800,0.0,0.0
17,1991-08-16,4.625,4.625,4.5,4.5,69800,0.0,0.0
18,1991-08-19,4.4375,4.5,4.1875,4.375,75400,0.0,0.0
19,1991-08-20,4.375,4.4375,4.25,4.375,57800,0.0,0.0
20,1991-08-21,4.4375,4.4375,4.3125,4.4375,14000,0.0,0.0
21,1991-08-22,4.4375,4.5,4.3125,4.375,41400,0.0,0.0
22,1991-08-23,4.5,4.5,4.3125,4.3125,17000,0.0,0.0
23,1991-08-26,4.5,4.5625,4.3125,4.5625,77600,0.0,0.0
24,1991-08-27,4.5625,4.6875,4.5,4.625,72600,0.0,0.0
25,1991-08-28,4.625,4.6875,4.5,4.6875,73400,0.0,0.0
26,1991-08-29,4.6875,4.9375,4.5625,4.9375,178000,0.0,0.0
