idx,date,open,high,low,close,volume,dividends,stock_splits
1,2005-07-08,7.9202861786,8.0480327606,7.5370459557,7.8180890083,4067624,0.0,0.0
2,2005-07-11,7.8180890083,7.8947367668,7.7158918381,7.8436379433,1382425,0.0,0.0
3,2005-07-12,8.022482872,8.3290748596,7.9713850021,8.2524271011,1230170,0.0,0.0
4,2005-07-13,8.3035259247,8.3035259247,8.1246814728,8.1246814728,1233889,0.0,0.0
5,2005-07-14,8.1757793427,8.1757793427,8.0735816956,8.1246814728,2311608,0.0,0.0
6,2005-07-15,8.0735816956,8.0991306305,7.9202861786,8.022482872,1099638,0.0,0.0
7,2005-07-18,7.9458351135,7.9458351135,7.5881447792,7.613694191,3226310,0.0,0.0
8,2005-07-19,7.6392440796,7.6647930145,7.613694191,7.6341338158,4084846,0.0,0.0
9,2005-07-20,7.6392440796,7.6392440796,7.5881447792,7.5881447792,3595987,0.0,0.0
10,2005-07-21,7.4092998505,7.7158918381,7.2560038567,7.7107820511,35754781,0.0,0.0
11,2005-07-22,7.6903419495,7.7925400734,7.613694191,7.6596832275,30231149,0.0,0.0
12,2005-07-25,7.6596832275,7.6647930145,7.1435871124,7.1793560982,21772799,0.0,0.0
13,2005-07-26,7.1793560982,7.2049050331,7.0209498405,7.1538071632,20022263,0.0,0.0
14,2005-07-27,7.1282582283,7.3173217773,7.0873789787,7.1538071632,22497672,0.0,0.0
15,2005-07-28,7.1538071632,7.3479819298,7.1384768486,7.2815527916,18940237,0.0,0.0
16,2005-07-29,7.2815527916,7.3173217773,7.1486968994,7.2917728424,4637894,0.0,0.0
17,2005-08-02,7.1129279137,7.1691360474,6.9034237862,7.1435871124,13416018,0.0,0.0
18,2005-08-03,7.051609993,7.2713341713,6.9954009056,7.2713341713,5212861,0.0,0.0
19,2005-08-04,7.1078181267,7.2815527916,7.0975980759,7.2355651855,7530732,0.0,0.0
20,2005-08-05,7.1844658852,7.2355651855,7.1027078629,7.2049050331,6118756,0.0,0.0
21,2005-08-08,7.1027078629,7.2560038567,7.0771589279,7.1793560982,3862335,0.0,0.0
22,2005-08-09,7.1844658852,7.194685936,7.0822691917,7.1384768486,6048500,0.0,0.0
23,2005-08-10,7.1282582283,7.2457838058,7.1180381775,7.2100148201,18739645,0.0,0.0
24,2005-08-11,7.2968831062,7.6750130653,7.2968831062,7.455288887,20197219,0.0,0.0
25,2005-08-12,7.4910578728,7.5523757935,7.4092998505,7.5063872337,10717902,0.0,0.0
