idx,date,open,high,low,close,volume,dividends,stock_splits
1,2012-10-12,48.0499992371,51.3699989319,45.0499992371,48.6899986267,18132800,0.0,0.0
2,2012-10-15,48.7400016785,53.0,48.5999984741,51.9399986267,3091900,0.0,0.0
3,2012-10-16,53.4900016785,53.5,51.9099998474,52.1599998474,805200,0.0,0.0
4,2012-10-17,52.0200004578,57.2099990845,52.0,55.4099998474,1386400,0.0,0.0
5,2012-10-18,55.0800018311,55.0999984741,50.8699989319,53.4199981689,1523300,0.0,0.0
6,2012-10-19,52.3300018311,55.5800018311,51.5299987793,55.25,1442200,0.0,0.0
7,2012-10-22,55.5800018311,56.2200012207,54.1100006104,55.4000015259,478200,0.0,0.0
8,2012-10-23,55.3699989319,55.5099983215,54.1399993896,54.3800010681,386300,0.0,0.0
9,2012-10-24,54.0099983215,54.25,51.8600006104,52.1199989319,469600,0.0,0.0
10,2012-10-25,53.3300018311,53.3300018311,48.5999984741,49.2400016785,800600,0.0,0.0
11,2012-10-26,49.6500015259,50.5,48.2000007629,50.0,484600,0.0,0.0
12,2012-10-31,51.0,51.0299987793,48.0900001526,48.5,400900,0.0,0.0
13,2012-11-02,50.7400016785,50.7400016785,48.2999992371,48.5200004578,178900,0.0,0.0
14,2012-11-05,49.9799995422,50.0,48.7400016785,49.8800010681,310200,0.0,0.0
15,2012-11-06,48.5299987793,50.3300018311,48.25,48.5400009155,509900,0.0,0.0
16,2012-11-07,48.4300003052,48.7099990845,46.8199996948,48.0699996948,284100,0.0,0.0
17,2012-11-08,49.25,49.6800003052,47.6899986267,49.0499992371,278600,0.0,0.0
18,2012-11-09,49.5999984741,49.5999984741,47.5999984741,48.0,120400,0.0,0.0
19,2012-11-12,47.4700012207,47.6800003052,46.3800010681,46.9900016785,274800,0.0,0.0
20,2012-11-13,46.2099990845,47.2700004578,46.0,46.9900016785,279200,0.0,0.0
21,2012-11-14,46.7700004578,48.5,46.75,47.3800010681,267200,0.0,0.0
22,2012-11-15,48.1100006104,48.6199989319,47.0699996948,47.9399986267,371800,0.0,0.0
23,2012-11-16,47.5,48.9500007629,47.4000015259,48.8499984741,194200,0.0,0.0
24,2012-11-19,49.9500007629,49.9500007629,48.9199981689,49.6100006104,216200,0.0,0.0
25,2012-11-20,49.8600006104,51.0,49.6199989319,50.7099990845,314900,0.0,0.0
26,2012-11-21,51.0499992371,52.0999984741,51.0499992371,51.9500007629,441300,0.0,0.0
27,2012-11-23,52.4599990845,52.4599990845,50.4300003052,50.7900009155,148800,0.0,0.0
28,2012-11-26,50.7999992371,51.75,50.0,50.8199996948,341700,0.0,0.0
29,2012-11-27,51.0,53.1899986267,50.7299995422,51.8499984741,852500,0.0,0.0
30,2012-11-28,51.0499992371,53.2200012207,49.0200004578,53.1899986267,1223800,0.0,0.0
31,2012-11-29,53.1399993896,53.6800003052,49.6199989319,51.7000007629,1467500,0.0,0.0
32,2012-11-30,51.9700012207,51.9900016785,49.5999984741,50.0999984741,584200,0.0,0.0
33,2012-12-03,50.0999984741,51.3300018311,49.2599983215,50.0999984741,621800,0.0,0.0
34,2012-12-04,49.5900001526,49.8899993896,48.7000007629,49.7000007629,346100,0.0,0.0
35,2012-12-05,49.75,49.9000015259,48.2400016785,48.2999992371,370400,0.0,0.0
36,2012-12-06,48.9900016785,48.9900016785,47.7400016785,48.4000015259,163500,0.0,0.0
37,2012-12-07,48.8499984741,51.3300018311,48.5,51.2000007629,680600,0.0,0.0
38,2012-12-10,51.8800010681,52.5,49.7799987793,51.5,612400,0.0,0.0
39,2012-12-11,51.7799987793,52.8400001526,50.4000015259,51.6899986267,445500,0.0,0.0
40,2012-12-12,52.0,53.0200004578,51.3400001526,51.4000015259,326600,0.0,0.0
41,2012-12-13,51.5999984741,51.5999984741,50.2000007629,50.2700004578,156200,0.0,0.0
42,2012-12-14,50.0,50.9700012207,49.9399986267,50.4799995422,158500,0.0,0.0
43,2012-12-17,50.3899993896,51.0499992371,50.0999984741,50.9399986267,148700,0.0,0.0
44,2012-12-18,51.1199989319,53.4099998474,50.0200004578,53.3899993896,517200,0.0,0.0
45,2012-12-19,53.5,57.0999984741,52.6500015259,55.1300010681,1444500,0.0,0.0
46,2012-12-20,55.0,56.9000015259,52.7400016785,56.1599998474,799800,0.0,0.0
47,2012-12-21,54.9399986267,56.2599983215,54.0,55.9500007629,1955300,0.0,0.0
48,2012-12-24,55.6899986267,56.25,54.1300010681,56.1699981689,109300,0.0,0.0
49,2012-12-26,55.9599990845,56.5,54.1699981689,54.5299987793,307700,0.0,0.0
50,2012-12-27,54.7999992371,55.0999984741,53.0499992371,54.0,356500,0.0,0.0
51,2012-12-28,53.9000015259,54.0999984741,53.0800018311,53.5400009155,161200,0.0,0.0
52,2012-12-31,53.2299995422,54.9799995422,52.9900016785,54.5,446500,0.0,0.0
