idx,date,open,high,low,close,volume,dividends,stock_splits
1,1973-02-21,0.0,1.0684528834,1.0593208075,1.0593208075,10000,0.0,0.0
2,1973-02-22,0.0,1.0638868454,1.0547547695,1.0593208075,10000,0.0,0.0
3,1973-02-23,0.0,1.0638868097,0.9816981291,1.054754734,8800,0.0,0.0
4,1973-02-26,0.0,1.0593202992,1.0410561562,1.0410561562,34000,0.0,0.0
5,1973-02-27,0.0,1.0501882277,1.0410561562,1.0410561562,8400,0.0,0.0
6,1973-02-28,0.0,1.0410571825,1.0136609409,1.0182269812,31200,0.0,0.0
7,1973-03-02,0.0,1.0364914816,1.0273593981,1.0319254398,16800,0.0,0.0
8,1973-03-05,0.0,1.0319241732,1.0227921009,1.0227921009,12000,0.0,0.0
9,1973-03-06,0.0,1.0364906788,1.0273586023,1.0364906788,27200,0.0,0.0
10,1973-03-07,0.0,1.0319241732,1.0136600286,1.0227921009,34400,0.0,0.0
11,1973-03-08,0.0,1.0364914816,1.0273593981,1.0319254398,39600,0.0,0.0
12,1973-03-09,0.0,1.0319254398,1.0273593981,1.0319254398,13200,0.0,0.0
13,1973-03-12,0.0,1.0319254398,1.0273593981,1.0319254398,22400,0.0,0.0
14,1973-03-13,0.0,1.0410567522,1.027358637,1.0410567522,30000,0.0,0.0
15,1973-03-14,0.0,1.0456228256,1.03192471,1.0456228256,56000,0.0,0.0
16,1973-03-15,0.0,1.0410567522,1.0319246754,1.0410567522,17600,0.0,0.0
17,1973-03-16,0.0,1.0364902094,1.0227921009,1.0227921009,16800,0.0,0.0
18,1973-03-19,0.0,1.0227927474,1.0090946303,1.0136606693,13200,0.0,0.0
19,1973-03-20,0.0,1.0227927474,1.0136606693,1.0136606693,9600,0.0,0.0
20,1973-03-21,0.0,1.0227924227,1.0136603475,1.0182263851,14400,0.0,0.0
21,1973-03-22,0.0,1.0273587865,1.0136606693,1.0136606693,12400,0.0,0.0
22,1973-03-23,0.0,1.0319254398,1.009095231,1.0319254398,22800,0.0,0.0
23,1973-03-26,0.0,1.03040282,1.0211199117,1.0257613659,12400,0.11475,0.0
24,1973-03-27,0.0,1.0350432756,1.0257603762,1.0304018259,9600,0.0,0.0
25,1973-03-28,0.0,1.0396847252,1.0257603762,1.0304018259,16000,0.0,0.0
26,1973-03-29,0.0,1.0350432756,1.0257603762,1.0304018259,10800,0.0,0.0
27,1973-03-30,0.0,1.0304021391,1.0211192369,1.0211192369,24400,0.0,0.0
28,1973-04-02,0.0,1.0350441539,1.0257612467,1.0257612467,6400,0.0,0.0
29,1973-04-03,0.0,1.0257615263,1.0211200714,1.0211200714,6800,0.0,0.0
30,1973-04-04,0.0,1.0257601243,1.0164772272,1.0164772272,11600,0.0,0.0
31,1973-04-05,0.0,1.0257601243,1.0164772272,1.0164772272,6400,0.0,0.0
32,1973-04-06,0.0,1.011836208,1.002553307,1.0071947575,14000,0.0,0.0
33,1973-04-09,0.0,1.011836648,0.9979122904,1.011836648,13200,0.0,0.0
34,1973-04-10,0.0,1.035043994,1.0071952767,1.0304025412,24400,0.0,0.0
35,1973-04-11,0.0,1.035043994,1.0304025412,1.0304025412,10400,0.0,0.0
36,1973-04-12,0.0,1.044326663,1.0304023075,1.044326663,14800,0.0,0.0
37,1973-04-13,0.0,1.0536093637,1.0396850109,1.0396850109,13600,0.0,0.0
38,1973-04-16,0.0,1.0536100073,1.039685646,1.0489685535,44400,0.0,0.0
39,1973-04-17,0.0,1.0582510185,1.0350437593,1.044326663,19200,0.0,0.0
40,1973-04-18,0.0,1.0536095667,1.0350437593,1.044326663,18400,0.0,0.0
41,1973-04-19,0.0,1.0536096096,1.0396852535,1.0536096096,12800,0.0,0.0
42,1973-04-23,0.0,1.067534408,1.0489685922,1.0582515001,12400,0.0,0.0
43,1973-04-24,0.0,1.067534408,1.0582515001,1.0582515001,10400,0.0,0.0
44,1973-04-25,0.0,1.0582510185,1.044326663,1.044326663,74400,0.0,0.0
45,1973-04-26,0.0,1.0582510616,1.0489681576,1.0536096096,12800,0.0,0.0
46,1973-04-27,0.0,1.0628925137,1.0489681576,1.0536096096,14000,0.0,0.0
47,1973-04-30,0.0,1.0628929149,1.0489685535,1.0489685535,14800,0.0,0.0
48,1973-05-02,0.0,1.0628926754,1.0582512227,1.0628926754,12000,0.0,0.0
49,1973-05-03,0.0,1.0628926754,1.0536097699,1.0628926754,9200,0.0,0.0
50,1973-05-04,0.0,1.0628925949,1.0489682377,1.0582511425,4800,0.0,0.0
51,1973-05-07,0.0,1.0675340891,1.0536097314,1.0675340891,8800,0.0,0.0
52,1973-05-08,0.0,1.0675340473,1.0582511425,1.0582511425,11600,0.0,0.0
53,1973-05-09,0.0,1.0582511787,1.0396853685,1.0396853685,34400,0.0,0.0
54,1973-05-10,0.0,1.053609687,1.0396853299,1.0443267822,28000,0.0,0.0
55,1973-05-11,0.0,1.0489679575,1.0443265064,1.0489679575,11600,0.0,0.0
56,1973-05-14,0.0,1.0536097262,1.0396853685,1.0396853685,9200,0.0,0.0
57,1973-05-15,0.0,1.0489682736,1.0396853685,1.0396853685,10400,0.0,0.0
58,1973-05-16,0.0,1.0489682736,1.0396853685,1.0396853685,6000,0.0,0.0
59,1973-05-17,0.0,1.0489682736,1.0396853685,1.0396853685,12000,0.0,0.0
60,1973-05-18,0.0,1.0443267822,1.0350438775,1.0443267822,38800,0.0,0.0
61,1973-05-21,0.0,1.0489679575,1.0396850552,1.0489679575,61600,0.0,0.0
62,1973-05-22,0.0,1.0628925949,1.0536096901,1.0582511425,18000,0.0,0.0
63,1973-05-23,0.0,1.0721755416,1.0536097314,1.0675340891,23600,0.0,0.0
64,1973-05-24,0.0,1.0721755809,1.0489683172,1.0628926754,20800,0.0,0.0
