idx,date,open,high,low,close,volume,dividends,stock_splits
1,2018-03-16,27.5,33.4700012207,26.0599994659,33.0,16931900,0.0,0.0
2,2018-03-19,31.4500007629,31.5,26.75,27.8999996185,5892100,0.0,0.0
3,2018-03-20,28.4099998474,30.9039993286,28.0699996948,30.3799991608,3262000,0.0,0.0
4,2018-03-21,30.7900009155,34.8300018311,29.2900009155,31.0799999237,4460900,0.0,0.0
5,2018-03-22,30.0,31.8799991608,28.5599994659,29.8299999237,3239500,0.0,0.0
6,2018-03-23,30.3099994659,30.4500007629,28.6000003815,29.4300003052,1247100,0.0,0.0
7,2018-03-26,30.6299991608,30.9379997253,27.2999992371,27.8299999237,1916700,0.0,0.0
8,2018-03-27,28.0,28.5990009308,26.6000003815,27.75,1719500,0.0,0.0
9,2018-03-28,27.3500003815,28.1900005341,27.0,27.5300006866,824700,0.0,0.0
10,2018-03-29,27.75,28.4549999237,26.7999992371,28.0699996948,1137600,0.0,0.0
11,2018-04-02,27.8999996185,28.6599998474,26.8069992065,27.0599994659,786700,0.0,0.0
12,2018-04-03,27.1299991608,27.1900005341,26.5,26.7999992371,787500,0.0,0.0
13,2018-04-04,26.3500003815,28.9500007629,26.3199996948,27.9699993134,1023800,0.0,0.0
14,2018-04-05,28.6100006104,29.1499996185,27.9699993134,28.5300006866,1210400,0.0,0.0
15,2018-04-06,28.3199996948,29.6630001068,28.0499992371,28.2199993134,737300,0.0,0.0
16,2018-04-09,28.4699993134,28.7000007629,26.5,26.5400009155,934500,0.0,0.0
17,2018-04-10,27.0599994659,28.5,26.8400001526,28.0699996948,1068400,0.0,0.0
18,2018-04-11,28.0300006866,29.4599990845,27.3999996185,27.7099990845,795300,0.0,0.0
19,2018-04-12,27.8099994659,28.5900001526,27.7749996185,27.9599990845,258900,0.0,0.0
20,2018-04-13,28.7000007629,28.7000007629,27.0300006866,27.4799995422,418300,0.0,0.0
21,2018-04-16,27.8899993896,29.0,27.5650005341,28.9899997711,401000,0.0,0.0
22,2018-04-17,29.3099994659,29.9729995728,28.6299991608,28.75,951500,0.0,0.0
23,2018-04-18,28.9599990845,29.0,28.0,28.6499996185,377700,0.0,0.0
24,2018-04-19,28.6499996185,28.9449996948,27.75,28.0300006866,265500,0.0,0.0
25,2018-04-20,28.0499992371,28.2299995422,27.0300006866,27.2199993134,522500,0.0,0.0
26,2018-04-23,27.2000007629,27.5799999237,26.5,26.8600006104,626800,0.0,0.0
27,2018-04-24,27.0,27.9699993134,27.0,27.1399993896,393200,0.0,0.0
28,2018-04-25,27.0900001526,28.4500007629,26.8500003815,28.1100006104,415700,0.0,0.0
29,2018-04-26,28.3999996185,28.8099994659,28.170999527,28.6499996185,396000,0.0,0.0
30,2018-04-27,28.8600006104,28.9300003052,28.4109992981,28.7099990845,197200,0.0,0.0
31,2018-04-30,28.7000007629,30.0599994659,28.7000007629,29.8899993896,399100,0.0,0.0
32,2018-05-02,29.3199996948,30.0599994659,29.0100002289,29.9500007629,265300,0.0,0.0
33,2018-05-03,28.75,28.75,26.75,27.5699996948,1937300,0.0,0.0
34,2018-05-04,27.5799999237,27.9599990845,27.5799999237,27.8600006104,651300,0.0,0.0
35,2018-05-07,28.0,28.3500003815,27.5100002289,27.6499996185,470200,0.0,0.0
36,2018-05-08,27.6499996185,27.9099998474,27.2700004578,27.5300006866,266400,0.0,0.0
37,2018-05-09,27.4899997711,27.8700008392,27.3339996338,27.8500003815,325500,0.0,0.0
38,2018-05-10,27.8500003815,28.8199996948,27.5,28.1800003052,380900,0.0,0.0
39,2018-05-11,28.25,29.4599990845,28.0100002289,29.3199996948,604500,0.0,0.0
40,2018-05-14,29.3700008392,30.1000003815,28.4099998474,28.4699993134,564800,0.0,0.0
41,2018-05-15,28.4200000763,28.7600002289,27.25,27.4099998474,753500,0.0,0.0
42,2018-05-16,27.5300006866,27.7999992371,27.0650005341,27.0900001526,383100,0.0,0.0
43,2018-05-17,27.0699996948,28.5100002289,26.7520008087,27.3899993896,676300,0.0,0.0
44,2018-05-18,27.3999996185,27.8099994659,27.2099990845,27.2800006866,227400,0.0,0.0
45,2018-05-21,27.3500003815,27.9899997711,27.0400009155,27.4200000763,268300,0.0,0.0
46,2018-05-22,27.5599994659,27.5599994659,27.0,27.0900001526,348700,0.0,0.0
47,2018-05-23,26.8799991608,27.1399993896,26.2600002289,26.5599994659,693400,0.0,0.0
48,2018-05-24,26.4500007629,27.0300006866,26.3500003815,26.5499992371,467800,0.0,0.0
49,2018-05-25,26.5,26.75,24.7600002289,24.9500007629,1034000,0.0,0.0
50,2018-05-29,25.0,26.1399993896,25.0,25.6299991608,731200,0.0,0.0
51,2018-05-30,25.9400005341,26.3999996185,25.111000061,25.5,763300,0.0,0.0
52,2018-05-31,25.6200008392,26.3299999237,25.0699996948,26.2600002289,725900,0.0,0.0
53,2018-06-04,28.3899993896,29.3999996185,28.3899993896,29.2099990845,1217700,0.0,0.0
54,2018-06-05,29.3199996948,30.1599998474,28.9099998474,30.1299991608,818100,0.0,0.0
55,2018-06-06,30.2000007629,31.5100002289,29.8600006104,30.6499996185,2051600,0.0,0.0
56,2018-06-07,36.0,42.1599998474,34.8499984741,37.7900009155,10862900,0.0,0.0
57,2018-06-08,37.4900016785,40.9500007629,37.4000015259,40.5299987793,3254200,0.0,0.0
58,2018-06-11,40.9599990845,43.9799995422,40.5900001526,41.25,3320600,0.0,0.0
59,2018-06-12,41.7599983215,41.7999992371,38.7900009155,38.9300003052,2774100,0.0,0.0
60,2018-06-13,39.1100006104,39.8699989319,38.2999992371,38.8300018311,1568600,0.0,0.0
